figure,panel,width_mm,height_mm,formats
Fig12,Fig12a_before_compensation,95.000,80.000,svg;pdf;png;tiff
Fig12,Fig12b_after_compensation,95.000,80.000,svg;pdf;png;tiff
Fig12,Fig12c_bland_altman,95.000,80.000,svg;pdf;png;tiff
Fig12,Fig12d_absolute_error_ecdf,95.000,80.000,svg;pdf;png;tiff
Fig13,Fig13a_R2_33_models,63.333,125.000,svg;pdf;png;tiff
Fig13,Fig13b_RMSE_33_models,63.333,125.000,svg;pdf;png;tiff
Fig13,Fig13c_MAE_33_models,63.333,125.000,svg;pdf;png;tiff
Fig14,Fig14a_DE_XGBoost,95.000,89.650,svg;pdf;png;tiff
Fig14,Fig14b_Ear_only_linear,95.000,89.650,svg;pdf;png;tiff
Fig14,Fig14c_LightGBM,95.000,89.650,svg;pdf;png;tiff
Fig14,Fig14d_TH_SHRC,95.000,89.650,svg;pdf;png;tiff
Fig15,Fig15a_component_combination_ablation,190.000,121.400,svg;pdf;png;tiff
Fig15,Fig15b_nested_performance,190.000,88.600,svg;pdf;png;tiff
Fig16,Fig16_representative_OOF_trajectory,190.000,71.900,svg;pdf;png;tiff
Fig17,Fig17_relative_performance_radar,90.000,100.000,svg;pdf;png;tiff
Fig18,Fig18a_conditional_SHAP_heatmap,190.000,85.700,svg;pdf;png;tiff
Fig18,Fig18b_global_SHAP_contribution,190.000,119.500,svg;pdf;png;tiff
Fig19,Fig19a_ear_temperature_dependence,63.333,70.000,svg;pdf;png;tiff
Fig19,Fig19b_ambient_temperature_dependence,63.333,70.000,svg;pdf;png;tiff
Fig19,Fig19c_sampling_time_dependence,63.333,70.000,svg;pdf;png;tiff
