Distance_m,Direction,Packets_sent,Packets_received,PDR_percent,RSSI_mean_dBm,RSSI_SD_dBm,RSSI_median_dBm,RSSI_min_dBm,RSSI_max_dBm,Received_count_RSSI,SNR_mean_dB,SNR_SD_dB,SNR_median_dB,SNR_min_dB,SNR_max_dB,Received_count_SNR
50,东,100,99,99.0,-72.17474747474748,3.5938536940665533,-71.8,-81.3,-63.8,99,9.275757575757575,1.0460899899919747,9.4,7.0,11.7,99
50,东北,100,99,99.0,-71.3030303030303,4.233984338259106,-70.7,-82.4,-62.4,99,9.618181818181819,1.0600696585085994,9.6,6.3,11.8,99
50,东南,100,99,99.0,-73.07171717171718,3.9497879148446873,-73.6,-82.4,-64.6,99,8.753535353535353,1.270329631921327,8.8,5.8,12.3,99
50,北,100,100,100.0,-70.40899999999999,3.915524527216286,-70.4,-80.4,-61.0,100,10.112,0.9877307938968598,10.0,7.7,13.5,100
50,南,100,98,98.0,-71.20408163265306,4.29859527204586,-71.4,-79.4,-58.6,98,9.16530612244898,1.1409981198260872,9.3,6.7,11.6,98
50,西,100,97,97.0,-72.82061855670104,3.5563012780230983,-72.6,-80.2,-64.9,97,9.12680412371134,1.0972992853590513,9.0,6.6,11.6,97
50,西北,100,97,97.0,-71.08556701030928,4.418238470880334,-71.6,-81.8,-59.2,97,9.49381443298969,0.9767947618987588,9.4,7.3,12.9,97
50,西南,100,97,97.0,-73.71443298969072,3.6341548103468284,-73.4,-82.5,-63.9,97,8.468041237113402,1.21308374193559,8.5,5.9,11.6,97
100,东,100,99,99.0,-91.67474747474746,5.370561165418252,-91.9,-104.7,-79.4,99,6.275757575757575,1.2179851972133313,6.1,3.1,9.1,99
100,东北,100,99,99.0,-91.53737373737374,4.549985105572974,-91.8,-103.0,-79.4,99,6.726262626262626,1.199284298355827,6.7,3.9,9.3,99
100,东南,100,97,97.0,-94.11649484536082,4.408577822750099,-93.9,-103.1,-83.9,97,5.860824742268041,1.3452506505163924,5.9,2.4,9.0,97
100,北,100,98,98.0,-90.44591836734695,4.519879762276024,-90.05,-101.7,-82.0,98,6.98469387755102,1.177044353657751,6.9,4.1,9.7,98
100,南,100,95,95.0,-92.08421052631579,5.144844885064795,-92.1,-104.5,-82.4,95,6.262105263157895,1.1701226474512778,6.4,3.0,9.1,95
100,西,100,96,96.0,-91.66041666666666,4.537805617758589,-91.85,-102.8,-78.8,96,6.0093749999999995,1.177962391053654,5.9,2.8,9.4,96
100,西北,100,99,99.0,-91.93939393939394,4.8727861154478855,-92.4,-101.7,-79.0,99,6.46969696969697,1.193815230760106,6.6,3.8,9.8,99
100,西南,100,97,97.0,-94.64432989690722,5.012961721713792,-94.6,-106.5,-81.4,97,5.6000000000000005,1.1986972094736852,5.6,3.4,8.2,97
150,东,100,95,95.0,-112.13789473684211,5.358671218020779,-112.0,-124.1,-99.0,95,3.414736842105263,1.2264781287181457,3.4,0.3,6.5,95
150,东北,100,99,99.0,-109.6090909090909,5.02270540379225,-109.4,-122.3,-99.2,99,3.6404040404040403,1.0644457398311729,3.7,0.9,5.8,99
150,东南,100,92,92.0,-114.4858695652174,4.971094060528729,-115.15,-125.1,-101.6,92,2.979347826086957,1.1632219411105247,3.0,-0.3,6.1,92
150,北,100,98,98.0,-110.38469387755103,4.540070212473477,-109.9,-119.9,-99.5,98,4.115306122448979,1.230317370908013,3.95,0.9,7.4,98
150,南,100,95,95.0,-111.78421052631579,4.499321835175135,-111.8,-122.6,-101.4,95,3.1178947368421053,1.1223056574756236,3.1,0.6,5.8,95
150,西,100,98,98.0,-113.0642857142857,4.968462393608414,-113.0,-125.5,-101.4,98,3.23265306122449,1.0791152838869291,3.3,0.9,5.5,98
150,西北,100,97,97.0,-111.25876288659794,4.63920684172143,-111.3,-124.0,-100.2,97,3.537113402061856,1.1969857618574027,3.6,1.1,6.8,97
150,西南,100,95,95.0,-113.8157894736842,4.815650809720804,-113.8,-125.9,-101.7,95,2.4957894736842103,1.2249112681258323,2.4,0.1,6.0,95
200,东,100,95,95.0,-126.77578947368421,3.135578801958625,-127.3,-132.5,-119.0,95,0.09578947368421052,1.211989378286587,0.3,-2.7,2.9,95
200,东北,100,95,95.0,-126.13157894736842,3.1308099406796432,-126.1,-132.6,-119.1,95,0.58,1.0697583739907832,0.5,-1.9,3.0,95
