Actual,Predicted,Method,Residual,AbsoluteError
38.3,38.239046553636335,Full TH-SHRC,0.06095344636366207,0.06095344636366207
38.3,38.25845076640236,Full TH-SHRC,0.04154923359763529,0.04154923359763529
38.7,38.6812178001867,Full TH-SHRC,0.01878219981330176,0.01878219981330176
38.4,38.509484393243504,Full TH-SHRC,-0.10948439324350545,0.10948439324350545
38.4,38.50822558478585,Full TH-SHRC,-0.1082255847858491,0.1082255847858491
38.3,38.24254197259352,Full TH-SHRC,0.057458027406475765,0.057458027406475765
38.0,38.02339733181096,Full TH-SHRC,-0.02339733181096193,0.02339733181096193
39.1,39.11682032614151,Full TH-SHRC,-0.01682032614150586,0.01682032614150586
39.3,39.28526959426917,Full TH-SHRC,0.014730405730830398,0.014730405730830398
39.2,39.20402363377234,Full TH-SHRC,-0.0040236337723342785,0.0040236337723342785
39.0,39.00756465346638,Full TH-SHRC,-0.007564653466381799,0.007564653466381799
40.0,40.016660814980106,Full TH-SHRC,-0.01666081498010641,0.01666081498010641
39.2,39.22758079305443,Full TH-SHRC,-0.027580793054426067,0.027580793054426067
38.1,38.0745091124222,Full TH-SHRC,0.025490887577802823,0.025490887577802823
38.5,38.64570003900256,Full TH-SHRC,-0.14570003900256268,0.14570003900256268
38.5,38.649320174337234,Full TH-SHRC,-0.14932017433723388,0.14932017433723388
38.5,38.44538295414607,Full TH-SHRC,0.05461704585393079,0.05461704585393079
38.4,38.38707521784976,Full TH-SHRC,0.01292478215023607,0.01292478215023607
38.9,38.872262250358204,Full TH-SHRC,0.027737749641794096,0.027737749641794096
38.2,38.17179790536659,Full TH-SHRC,0.028202094633414276,0.028202094633414276
38.0,37.98465021458757,Full TH-SHRC,0.015349785412432482,0.015349785412432482
38.2,38.18477008617974,Full TH-SHRC,0.015229913820263619,0.015229913820263619
38.1,38.07069679863984,Full TH-SHRC,0.02930320136016462,0.02930320136016462
38.1,38.063249310154326,Full TH-SHRC,0.03675068984567531,0.03675068984567531
38.9,38.89013637875697,Full TH-SHRC,0.009863621243027865,0.009863621243027865
38.5,38.520739356011866,Full TH-SHRC,-0.02073935601186605,0.02073935601186605
39.1,39.04951781273833,Full TH-SHRC,0.05048218726167164,0.05048218726167164
39.1,39.03175126484796,Full TH-SHRC,0.06824873515203933,0.06824873515203933
39.1,39.06737687171214,Full TH-SHRC,0.032623128287859515,0.032623128287859515
38.5,38.50141148276471,Full TH-SHRC,-0.0014114827647091488,0.0014114827647091488
38.9,38.23646764092013,Full TH-SHRC,0.6635323590798663,0.6635323590798663
38.9,38.23658507614986,Full TH-SHRC,0.6634149238501408,0.6634149238501408
39.2,39.17036817759875,Full TH-SHRC,0.029631822401249508,0.029631822401249508
38.7,38.6645271027756,Full TH-SHRC,0.035472897224401834,0.035472897224401834
38.6,38.63582888725916,Full TH-SHRC,-0.03582888725915723,0.03582888725915723
38.8,38.791325761442096,Full TH-SHRC,0.008674238557901504,0.008674238557901504
38.3,38.29400559226124,Full TH-SHRC,0.005994407738754148,0.005994407738754148
38.1,38.10398173590873,Full TH-SHRC,-0.003981735908730855,0.003981735908730855
38.7,38.65404922572488,Full TH-SHRC,0.045950774275119954,0.045950774275119954
39.5,39.394545212370005,Full TH-SHRC,0.10545478762999494,0.10545478762999494
38.0,37.99769983197476,Full TH-SHRC,0.0023001680252434653,0.0023001680252434653
38.3,38.290663050894175,Full TH-SHRC,0.009336949105822612,0.009336949105822612
38.5,38.46374898563416,Full TH-SHRC,0.03625101436583833,0.03625101436583833
38.0,37.99980517844922,Full TH-SHRC,0.00019482155077810148,0.00019482155077810148
37.5,37.66777546402361,Full TH-SHRC,-0.1677754640236131,0.1677754640236131
37.5,37.666079656828806,Full TH-SHRC,-0.16607965682880632,0.16607965682880632
38.0,37.98637164371164,Full TH-SHRC,0.01362835628835768,0.01362835628835768
39.0,39.2070545103233,Full TH-SHRC,-0.20705451032330302,0.20705451032330302
38.3,38.324924165262125,Full TH-SHRC,-0.02492416526212793,0.02492416526212793
38.3,38.47423838580755,Full TH-SHRC,-0.17423838580755557,0.17423838580755557
38.8,38.60848493040854,Full TH-SHRC,0.19151506959146047,0.19151506959146047
39.0,39.01633377328498,Full TH-SHRC,-0.01633377328497687,0.01633377328497687
39.9,39.88540188114656,Full TH-SHRC,0.014598118853442088,0.014598118853442088
39.4,39.40616526785639,Full TH-SHRC,-0.006165267856388823,0.006165267856388823
38.1,38.34284512367657,Full TH-SHRC,-0.24284512367656674,0.24284512367656674
