Ear_surface_temperature_C,Local_ambient_temperature_C,Core_temperature_C,Compensation_gap_C
30.4,16.0,38.3,7.899999999999999
28.1,13.4,38.3,10.199999999999996
31.8,6.9,38.7,6.900000000000002
33.6,6.8,38.4,4.799999999999997
33.6,6.8,38.4,4.799999999999997
33.9,11.2,38.3,4.399999999999999
33.7,5.5,38.0,4.299999999999997
33.1,5.0,39.1,6.0
36.2,6.8,39.3,3.0999999999999943
32.8,8.0,39.2,6.400000000000006
36.2,8.8,39.0,2.799999999999997
33.7,9.0,40.0,6.299999999999997
33.5,5.5,39.2,5.700000000000003
31.8,5.4,38.1,6.300000000000001
36.3,8.0,38.5,2.200000000000003
36.3,8.0,38.5,2.200000000000003
35.0,11.2,38.5,3.5
32.1,5.4,38.4,6.299999999999997
26.6,5.0,38.9,12.299999999999997
33.3,8.0,38.2,4.900000000000006
31.8,8.8,38.0,6.199999999999999
30.5,9.0,38.2,7.700000000000003
30.6,5.4,38.1,7.5
30.5,5.5,38.1,7.600000000000001
29.5,5.4,38.9,9.399999999999999
30.7,11.2,38.5,7.800000000000001
32.3,9.0,39.1,6.800000000000004
32.3,9.0,39.1,6.800000000000004
32.5,6.0,39.1,6.600000000000001
33.9,8.0,38.5,4.600000000000001
30.6,5.4,38.9,8.299999999999997
30.6,5.4,38.9,8.299999999999997
31.8,6.1,39.2,7.400000000000002
33.2,9.1,38.7,5.5
31.1,6.0,38.6,7.5
31.8,5.5,38.8,6.9999999999999964
25.3,5.0,38.3,12.999999999999996
29.7,6.9,38.1,8.400000000000002
32.5,8.0,38.7,6.200000000000003
32.3,9.1,39.5,7.200000000000003
33.3,11.2,38.0,4.700000000000003
32.9,9.0,38.3,5.399999999999999
28.2,5.4,38.5,10.3
31.0,6.1,38.0,7.0
30.8,8.0,37.5,6.699999999999999
30.8,8.0,37.5,6.699999999999999
33.5,11.2,38.0,4.5
32.1,9.0,39.0,6.899999999999999
30.7,5.4,38.3,7.599999999999998
30.4,5.0,38.3,7.899999999999999
32.8,9.3,38.8,6.0
35.3,9.1,39.0,3.700000000000003
33.5,6.0,39.9,6.399999999999999
33.8,5.4,39.4,5.600000000000001
28.2,13.1,38.1,9.900000000000002
32.6,22.0,38.1,5.5
33.3,6.1,38.8,5.5
33.6,6.8,38.4,4.799999999999997
33.9,11.2,38.3,4.399999999999999
32.6,6.0,39.7,7.100000000000001
33.2,5.4,39.6,6.399999999999999
33.5,5.5,39.2,5.700000000000003
35.7,6.1,38.1,2.3999999999999986
36.3,8.0,38.5,2.200000000000003
33.2,9.0,38.5,5.299999999999997
29.8,5.4,38.0,8.2
31.9,6.8,38.0,6.100000000000001
33.3,8.0,38.2,4.900000000000006
33.8,8.8,38.6,4.800000000000004
33.9,9.1,38.5,4.600000000000001
32.5,6.0,39.1,6.600000000000001
33.2,9.1,38.7,5.5
32.1,9.0,39.4,7.299999999999997
32.5,8.0,38.7,6.200000000000003
32.3,9.1,39.5,7.200000000000003
32.9,9.0,38.3,5.399999999999999
28.2,5.4,38.5,10.3
30.4,5.0,38.5,8.100000000000001
33.5,11.2,38.0,4.5
31.7,6.9,39.2,7.5000000000000036
32.8,9.3,38.8,6.0
32.4,11.2,39.1,6.700000000000003
34.4,30.1,40.1,5.700000000000003
36.7,34.4,39.4,2.6999999999999957
35.5,33.1,39.9,4.399999999999999
36.2,32.9,39.5,3.299999999999997
32.0,27.4,39.6,7.600000000000001
35.8,34.1,39.2,3.4000000000000057
37.3,35.6,40.4,3.1000000000000014
33.9,30.9,39.5,5.600000000000001
32.1,23.6,40.4,8.299999999999997
37.2,35.4,39.4,2.1999999999999957
36.6,35.0,39.0,2.3999999999999986
37.4,36.0,39.5,2.1000000000000014
36.2,34.3,40.6,4.399999999999999
37.4,36.1,38.5,1.1000000000000014
36.4,33.4,38.9,2.5
33.3,28.0,39.6,6.300000000000004
31.7,26.6,38.9,7.199999999999999
34.9,32.4,38.5,3.6000000000000014
35.8,33.3,39.2,3.4000000000000057
35.6,33.0,39.7,4.100000000000001
37.4,32.8,39.8,2.3999999999999986
36.5,31.7,38.5,2.0
37.4,33.3,40.0,2.6000000000000014
38.9,35.9,39.7,0.8000000000000043
35.2,30.9,38.6,3.3999999999999986
34.8,30.3,38.6,3.8000000000000043
36.1,34.0,38.0,1.8999999999999986
36.7,33.9,38.2,1.5
35.4,31.9,40.4,5.0
38.1,35.1,39.2,1.1000000000000014
32.8,22.0,38.1,5.300000000000004
29.3,11.8,38.3,8.999999999999996
33.3,9.3,38.5,5.200000000000003
33.6,8.0,38.4,4.799999999999997
33.9,11.2,38.3,4.399999999999999
36.4,9.1,38.5,2.1000000000000014
33.7,5.5,38.0,4.299999999999997
30.8,6.1,39.5,8.7
33.9,9.3,38.8,4.899999999999999
36.2,8.8,39.0,2.799999999999997
36.0,9.1,38.9,2.8999999999999986
33.2,5.4,39.6,6.399999999999999
33.1,6.8,38.2,5.100000000000001
33.2,9.3,38.1,4.899999999999999
33.6,8.8,38.5,4.899999999999999
