CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour
C021,30.0,38.3,13.1,11.0
C021,30.4,38.3,16.0,12.0
C021,31.5,38.2,18.3,13.0
C021,32.6,38.4,20.8,14.0
C021,32.8,38.1,22.0,15.0
C021,28.1,38.3,13.4,21.0
C021,29.3,38.3,11.8,22.0
C021,29.2,38.2,10.9,23.0
C021,28.6,38.0,10.9,24.0
C003,31.4,39.0,5.4,0.0
C003,33.3,38.8,6.1,11.0
C003,31.8,38.7,6.9,12.0
C003,33.6,38.4,6.8,12.0
C003,33.3,38.5,9.3,13.0
C003,33.6,38.4,8.0,13.0
C003,33.1,38.5,11.2,14.0
C003,33.9,38.3,11.2,15.0
C003,36.4,38.5,9.1,15.0
C003,32.0,39.0,9.0,19.0
C003,32.0,38.6,6.0,21.0
C003,33.7,38.0,5.5,23.0
C002,32.9,38.2,5.4,0.0
C002,30.8,39.5,6.1,11.0
C002,33.1,39.1,5.0,11.0
C002,34.2,38.5,6.9,12.0
C002,36.2,39.3,6.8,12.0
C002,32.8,39.2,8.0,13.0
C002,33.9,38.8,9.3,13.0
C002,36.2,39.0,8.8,14.0
C002,36.0,38.9,9.1,15.0
C002,33.7,40.0,9.0,19.0
C002,32.6,39.7,6.0,21.0
C002,33.2,39.6,5.4,22.0
C002,33.5,39.2,5.5,23.0
C029,31.8,38.1,5.4,0.0
C029,35.7,38.1,6.1,11.0
C029,32.9,38.0,6.9,12.0
C029,33.1,38.2,6.8,12.0
C029,33.2,38.1,9.3,13.0
C029,36.3,38.5,8.0,13.0
C029,33.6,38.5,8.8,14.0
C029,35.0,38.5,11.2,15.0
C029,33.2,38.5,9.0,19.0
C029,31.3,38.4,6.0,21.0
C029,32.1,38.4,5.4,22.0
C029,32.2,38.9,5.5,23.0
C001,29.8,38.0,5.4,0.0
C001,26.6,38.9,5.0,11.0
C001,33.1,39.2,6.1,11.0
C001,31.3,38.3,6.9,12.0
C001,31.9,38.0,6.8,12.0
C001,31.6,38.0,9.3,13.0
C001,33.3,38.2,8.0,13.0
C001,31.8,38.0,8.8,14.0
C001,32.0,38.4,9.1,15.0
C001,33.9,38.1,11.2,15.0
C001,30.5,38.2,9.0,19.0
C001,29.6,38.3,6.0,21.0
C001,30.6,38.1,5.4,22.0
C001,30.5,38.1,5.5,23.0
C027,29.5,38.9,5.4,0.0
C027,30.9,41.5,6.1,11.0
C027,31.5,38.7,5.0,11.0
C027,31.9,38.5,6.9,12.0
C027,31.1,38.6,8.0,13.0
C027,32.8,38.5,9.3,13.0
C027,33.8,38.6,8.8,14.0
C027,30.7,38.5,11.2,15.0
C027,33.9,38.5,9.1,15.0
C027,32.3,39.1,9.0,19.0
C027,32.5,39.1,6.0,21.0
C027,32.7,38.2,5.5,23.0
C026,28.6,38.3,5.4,0.0
C026,33.9,38.5,8.0,13.0
C026,33.9,38.6,11.2,15.0
C026,30.6,39.0,9.0,19.0
C026,30.7,39.1,6.0,21.0
C026,30.6,38.9,5.4,22.0
C026,30.7,38.6,5.5,23.0
C016,28.7,38.9,5.4,0.0
C016,31.8,39.2,6.1,11.0
C016,32.2,38.0,6.9,12.0
C016,31.9,38.1,9.3,13.0
C016,33.0,38.3,8.8,14.0
C016,33.2,38.7,9.1,15.0
C016,32.1,39.4,9.0,19.0
C016,31.1,38.6,6.0,21.0
C016,31.8,38.8,5.5,23.0
C022,25.4,38.1,5.4,0.0
C022,25.3,38.3,5.0,11.0
C022,32.2,38.1,6.1,11.0
C022,29.7,38.1,6.9,12.0
