RecordID,MeasurementUnitID,CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SequenceInCow,DataClass,Source,SourceWeight
MEAS_R000001,MEAS_UNIT_000001,C021,30.0,38.3,13.1,11.0,3,measured,S01,1.0
MEAS_R000002,MEAS_UNIT_000002,C021,30.4,38.3,16.0,12.0,5,measured,S01,1.0
MEAS_R000003,MEAS_UNIT_000003,C021,31.5,38.2,18.3,13.0,8,measured,S01,1.0
MEAS_R000004,MEAS_UNIT_000004,C021,32.6,38.4,20.8,14.0,11,measured,S01,1.0
MEAS_R000005,MEAS_UNIT_000005,C021,32.8,38.1,22.0,15.0,12,measured,S01,1.0
MEAS_R000006,MEAS_UNIT_000006,C021,28.1,38.3,13.4,21.0,13,measured,S01,1.0
MEAS_R000007,MEAS_UNIT_000007,C021,29.3,38.3,11.8,22.0,15,measured,S01,1.0
MEAS_R000008,MEAS_UNIT_000008,C021,29.2,38.2,10.9,23.0,16,measured,S01,1.0
MEAS_R000009,MEAS_UNIT_000009,C021,28.6,38.0,10.9,24.0,17,measured,S01,1.0
MEAS_R000010,MEAS_UNIT_000010,C003,31.4,39.0,5.4,0.0,1,measured,S01,1.0
MEAS_R000011,MEAS_UNIT_000011,C003,33.3,38.8,6.1,11.0,2,measured,S01,1.0
MEAS_R000012,MEAS_UNIT_000012,C003,31.8,38.7,6.9,12.0,4,measured,S01,1.0
MEAS_R000013,MEAS_UNIT_000013,C003,33.6,38.4,6.8,12.0,5,measured,S01,1.0
MEAS_R000014,MEAS_UNIT_000014,C003,33.3,38.5,9.3,13.0,7,measured,S01,1.0
MEAS_R000015,MEAS_UNIT_000015,C003,33.6,38.4,8.0,13.0,8,measured,S01,1.0
MEAS_R000016,MEAS_UNIT_000016,C003,33.1,38.5,11.2,14.0,9,measured,S01,1.0
MEAS_R000017,MEAS_UNIT_000017,C003,33.9,38.3,11.2,15.0,10,measured,S01,1.0
MEAS_R000018,MEAS_UNIT_000018,C003,36.4,38.5,9.1,15.0,11,measured,S01,1.0
MEAS_R000019,MEAS_UNIT_000019,C003,32.0,39.0,9.0,19.0,15,measured,S01,1.0
MEAS_R000020,MEAS_UNIT_000020,C003,32.0,38.6,6.0,21.0,16,measured,S01,1.0
MEAS_R000021,MEAS_UNIT_000021,C003,33.7,38.0,5.5,23.0,17,measured,S01,1.0
MEAS_R000022,MEAS_UNIT_000022,C002,32.9,38.2,5.4,0.0,1,measured,S01,1.0
MEAS_R000023,MEAS_UNIT_000023,C002,30.8,39.5,6.1,11.0,2,measured,S01,1.0
MEAS_R000024,MEAS_UNIT_000024,C002,33.1,39.1,5.0,11.0,3,measured,S01,1.0
MEAS_R000025,MEAS_UNIT_000025,C002,34.2,38.5,6.9,12.0,4,measured,S01,1.0
MEAS_R000026,MEAS_UNIT_000026,C002,36.2,39.3,6.8,12.0,5,measured,S01,1.0
MEAS_R000027,MEAS_UNIT_000027,C002,32.8,39.2,8.0,13.0,8,measured,S01,1.0
MEAS_R000028,MEAS_UNIT_000028,C002,33.9,38.8,9.3,13.0,9,measured,S01,1.0
MEAS_R000029,MEAS_UNIT_000029,C002,36.2,39.0,8.8,14.0,11,measured,S01,1.0
MEAS_R000030,MEAS_UNIT_000030,C002,36.0,38.9,9.1,15.0,12,measured,S01,1.0
MEAS_R000031,MEAS_UNIT_000031,C002,33.7,40.0,9.0,19.0,14,measured,S01,1.0
MEAS_R000032,MEAS_UNIT_000032,C002,32.6,39.7,6.0,21.0,15,measured,S01,1.0
MEAS_R000033,MEAS_UNIT_000033,C002,33.2,39.6,5.4,22.0,16,measured,S01,1.0
MEAS_R000034,MEAS_UNIT_000034,C002,33.5,39.2,5.5,23.0,17,measured,S01,1.0
MEAS_R000035,MEAS_UNIT_000035,C029,31.8,38.1,5.4,0.0,1,measured,S01,1.0
MEAS_R000036,MEAS_UNIT_000036,C029,35.7,38.1,6.1,11.0,2,measured,S01,1.0
MEAS_R000037,MEAS_UNIT_000037,C029,32.9,38.0,6.9,12.0,4,measured,S01,1.0
MEAS_R000038,MEAS_UNIT_000038,C029,33.1,38.2,6.8,12.0,5,measured,S01,1.0
MEAS_R000039,MEAS_UNIT_000039,C029,33.2,38.1,9.3,13.0,6,measured,S01,1.0
MEAS_R000040,MEAS_UNIT_000040,C029,36.3,38.5,8.0,13.0,7,measured,S01,1.0
MEAS_R000041,MEAS_UNIT_000041,C029,33.6,38.5,8.8,14.0,9,measured,S01,1.0
MEAS_R000042,MEAS_UNIT_000042,C029,35.0,38.5,11.2,15.0,12,measured,S01,1.0
MEAS_R000043,MEAS_UNIT_000043,C029,33.2,38.5,9.0,19.0,14,measured,S01,1.0
