table,field
lora_packet_level_records.csv,PacketRecordID
lora_packet_level_records.csv,TestDayCode
lora_packet_level_records.csv,TestRound
lora_packet_level_records.csv,Distance_m
lora_packet_level_records.csv,Direction
lora_packet_level_records.csv,Azimuth_deg
lora_packet_level_records.csv,PacketSequence
lora_packet_level_records.csv,Received
lora_packet_level_records.csv,RSSI_dBm
lora_packet_level_records.csv,SNR_dB
lora_packet_level_records.csv,ObstructionClass
lora_packet_level_records.csv,GatewaySiteCode
lora_packet_level_records.csv,TransmitterSiteCode
lora_packet_level_records.csv,SourceSentinelValue
lora_packet_level_records.csv,SignalMetricValid
lora_packet_level_records.csv,PacketLoss
lora_packet_level_records.csv,DistanceDirectionCell
lora_packet_level_records.csv,SignalMetricStatus
model_benchmark_evolutionary_choices.csv,Seed
model_benchmark_evolutionary_choices.csv,Model
model_benchmark_evolutionary_choices.csv,ModelFamily
model_benchmark_evolutionary_choices.csv,Optimizer
model_benchmark_evolutionary_choices.csv,FoldID
model_benchmark_evolutionary_choices.csv,InnerCV_RMSE
model_benchmark_evolutionary_choices.csv,Evaluations
model_benchmark_evolutionary_choices.csv,BestParams
model_benchmark_evolutionary_choices.csv,Notes
model_benchmark_fold_metrics.csv,Seed
model_benchmark_fold_metrics.csv,Model
model_benchmark_fold_metrics.csv,ModelFamily
model_benchmark_fold_metrics.csv,BenchmarkGroup
model_benchmark_fold_metrics.csv,FoldID
model_benchmark_fold_metrics.csv,ElapsedSecondsTotal
model_benchmark_fold_metrics.csv,Notes
model_benchmark_fold_metrics.csv,N
model_benchmark_fold_metrics.csv,R2
model_benchmark_fold_metrics.csv,RMSE
model_benchmark_fold_metrics.csv,MAE
model_benchmark_fold_metrics.csv,Bias_actual_minus_pred
model_benchmark_fold_metrics.csv,ErrorSD
model_benchmark_fold_metrics.csv,MedianAE
model_benchmark_fold_metrics.csv,P75_AE
model_benchmark_fold_metrics.csv,P90_AE
model_benchmark_fold_metrics.csv,P95_AE
model_benchmark_fold_metrics.csv,MaxAE
model_benchmark_fold_metrics.csv,Within_0_1C
model_benchmark_fold_metrics.csv,Within_0_2C
model_benchmark_fold_metrics.csv,Within_0_3C
model_benchmark_fold_metrics.csv,Within_0_5C
model_benchmark_metrics.csv,Model
model_benchmark_metrics.csv,ModelFamily
model_benchmark_metrics.csv,BenchmarkGroup
model_benchmark_metrics.csv,FeatureSet
model_benchmark_metrics.csv,FoldMode
model_benchmark_metrics.csv,FoldCountPerSeed
model_benchmark_metrics.csv,SeedCount
model_benchmark_metrics.csv,CowCount
model_benchmark_metrics.csv,SourceCount
model_benchmark_metrics.csv,ElapsedSecondsTotal
model_benchmark_metrics.csv,Notes
model_benchmark_metrics.csv,N
model_benchmark_metrics.csv,R2
model_benchmark_metrics.csv,RMSE
model_benchmark_metrics.csv,MAE
model_benchmark_metrics.csv,Bias_actual_minus_pred
model_benchmark_metrics.csv,ErrorSD
model_benchmark_metrics.csv,MedianAE
model_benchmark_metrics.csv,P75_AE
model_benchmark_metrics.csv,P90_AE
model_benchmark_metrics.csv,P95_AE
model_benchmark_metrics.csv,MaxAE
model_benchmark_metrics.csv,Within_0_1C
model_benchmark_metrics.csv,Within_0_2C
model_benchmark_metrics.csv,Within_0_3C
model_benchmark_metrics.csv,Within_0_5C
model_benchmark_model_inventory.csv,Model
model_benchmark_model_inventory.csv,ModelFamily
model_benchmark_model_inventory.csv,BenchmarkGroup
model_benchmark_model_inventory.csv,FeatureSet
model_benchmark_model_inventory.csv,SeedCount
model_benchmark_model_inventory.csv,Aggregation
model_benchmark_model_inventory.csv,RunStatus
model_benchmark_model_inventory.csv,Notes
model_benchmark_oof_predictions.csv,Model
model_benchmark_oof_predictions.csv,ModelFamily
model_benchmark_oof_predictions.csv,BenchmarkGroup
model_benchmark_oof_predictions.csv,FeatureSet
model_benchmark_oof_predictions.csv,RowID
model_benchmark_oof_predictions.csv,FoldID
model_benchmark_oof_predictions.csv,FoldMode
model_benchmark_oof_predictions.csv,CowKey
model_benchmark_oof_predictions.csv,Source
model_benchmark_oof_predictions.csv,Actual
model_benchmark_oof_predictions.csv,Predicted
model_benchmark_oof_predictions.csv,SeedCount
model_benchmark_oof_predictions.csv,Aggregation
paired_temperature_records.csv,RecordID
paired_temperature_records.csv,CowKey
paired_temperature_records.csv,Source
paired_temperature_records.csv,RowID
paired_temperature_records.csv,SourceRowID
paired_temperature_records.csv,EarTemperature_C
paired_temperature_records.csv,CoreReferenceTemperature_C
paired_temperature_records.csv,AmbientTemperature_C
paired_temperature_records.csv,MeasurementTime_hour
paired_temperature_records.csv,SourceType
paired_temperature_records.csv,EarStatus
paired_temperature_records.csv,SourceWeight
paired_temperature_records.csv,MeasurementUnitID
paired_temperature_records.csv,AcquisitionSession
paired_temperature_records.csv,OuterFold_20260523
