RecordID,CowKey,Source,RowID,SourceRowID,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SourceType,EarStatus,SourceWeight,SeqInCowSource,CowSourceN,EarLag1_C,EarLag2_C,AmbientLag1_C,EarDelta1_C,AmbientDelta1_C,TimeSin,TimeCos,ThermalLoad,EarAirGap_C,HotFlag,NightFlag
TEMP_R000001,C021,S03,1,121,30.0,38.3,13.1,11,reference_stratum_1,ear_status_2,0.85,1,9,30,30,13.1,0,0,0.258819045102521,-0.965925826289068,0,16.9,0,0
TEMP_R000002,C021,S03,2,122,30.4,38.3,16.0,12,reference_stratum_1,ear_status_2,0.85,2,9,30,30,13.1,0.399999999999999,2.9,1.22460635382238e-16,-1,0,14.4,0,0
TEMP_R000003,C021,S03,3,123,31.5,38.2,18.3,13,reference_stratum_1,ear_status_2,0.85,3,9,30.4,30,16,1.1,2.3,-0.258819045102521,-0.965925826289068,0.0176470588235295,13.2,0,0
TEMP_R000004,C021,S03,4,124,32.6,38.4,20.8,14,reference_stratum_1,ear_status_2,0.85,4,9,31.5,30.4,18.3,1.1,2.5,-0.5,-0.866025403784439,0.164705882352941,11.8,0,0
TEMP_R000005,C021,S03,5,125,32.8,38.1,22.0,15,reference_stratum_1,ear_status_2,0.85,5,9,32.6,31.5,20.8,0.199999999999996,1.2,-0.707106781186547,-0.707106781186548,0.235294117647059,10.8,0,0
TEMP_R000006,C021,S03,6,126,28.1,38.3,13.4,21,reference_stratum_1,ear_status_2,0.85,6,9,32.8,32.6,22,-4.7,-8.6,-0.707106781186548,0.707106781186547,0,14.7,0,1
TEMP_R000007,C021,S03,7,127,29.3,38.3,11.8,22,reference_stratum_1,ear_status_2,0.85,7,9,28.1,32.8,13.4,1.2,-1.6,-0.5,0.866025403784438,0,17.5,0,1
TEMP_R000008,C021,S03,8,128,29.2,38.2,10.9,23,reference_stratum_1,ear_status_2,0.85,8,9,29.3,28.1,11.8,-0.100000000000001,-0.9,-0.258819045102522,0.965925826289068,0,18.3,0,1
TEMP_R000009,C021,S03,9,129,28.6,38.0,10.9,24,reference_stratum_1,ear_status_2,0.85,9,9,29.2,29.3,10.9,-0.599999999999998,0,-2.44921270764475e-16,1,0,17.7,0,1
TEMP_R000015,C003,S03,15,1,31.4,39.0,5.4,0,reference_stratum_1,ear_status_2,0.85,1,24,31.4,31.4,5.4,0,0,0,1,0,26,0,1
TEMP_R000016,C003,S03,16,135,31.4,39.0,5.4,0,reference_stratum_1,ear_status_2,0.85,2,24,31.4,31.4,5.4,0,0,0,1,0,26,0,1
TEMP_R000017,C003,S03,17,2,33.3,38.8,6.1,11,reference_stratum_1,ear_status_2,0.85,3,24,31.4,31.4,5.4,1.9,0.699999999999999,0.258819045102521,-0.965925826289068,0,27.2,0,0
TEMP_R000018,C003,S03,18,136,33.3,38.8,6.1,11,reference_stratum_1,ear_status_2,0.85,4,24,33.3,31.4,6.1,0,0,0.258819045102521,-0.965925826289068,0,27.2,0,0
TEMP_R000019,C003,S03,19,3,31.8,38.7,6.9,12,reference_stratum_1,ear_status_2,0.85,5,24,33.3,33.3,6.1,-1.5,0.800000000000001,1.22460635382238e-16,-1,0,24.9,0,0
TEMP_R000020,C003,S03,20,137,31.8,38.7,6.9,12,reference_stratum_1,ear_status_2,0.85,6,24,31.8,33.3,6.9,0,0,1.22460635382238e-16,-1,0,24.9,0,0
TEMP_R000021,C003,S03,21,4,33.6,38.4,6.8,12,reference_stratum_1,ear_status_2,0.85,7,24,31.8,31.8,6.9,1.8,-0.100000000000001,1.22460635382238e-16,-1,0,26.8,0,0
TEMP_R000022,C003,S03,22,138,33.6,38.4,6.8,12,reference_stratum_1,ear_status_2,0.85,8,24,33.6,31.8,6.8,0,0,1.22460635382238e-16,-1,0,26.8,0,0
TEMP_R000023,C003,S03,23,5,33.3,38.5,9.3,13,reference_stratum_1,ear_status_2,0.85,9,24,33.6,33.6,6.8,-0.300000000000004,2.5,-0.258819045102521,-0.965925826289068,0,24,0,0
TEMP_R000024,C003,S03,24,139,33.3,38.5,9.3,13,reference_stratum_1,ear_status_2,0.85,10,24,33.3,33.6,9.3,0,0,-0.258819045102521,-0.965925826289068,0,24,0,0
TEMP_R000025,C003,S03,25,6,33.6,38.4,8.0,13,reference_stratum_1,ear_status_2,0.85,11,24,33.3,33.3,9.3,0.300000000000004,-1.3,-0.258819045102521,-0.965925826289068,0,25.6,0,0
TEMP_R000026,C003,S03,26,140,33.6,38.4,8.0,13,reference_stratum_1,ear_status_2,0.85,12,24,33.6,33.3,8,0,0,-0.258819045102521,-0.965925826289068,0,25.6,0,0
TEMP_R000027,C003,S03,27,7,33.1,38.5,11.2,14,reference_stratum_1,ear_status_2,0.85,13,24,33.6,33.6,8,-0.5,3.2,-0.5,-0.866025403784439,0,21.9,0,0
TEMP_R000028,C003,S03,28,141,33.1,38.5,11.2,14,reference_stratum_1,ear_status_2,0.85,14,24,33.1,33.6,11.2,0,0,-0.5,-0.866025403784439,0,21.9,0,0
TEMP_R000029,C003,S03,29,8,33.9,38.3,11.2,15,reference_stratum_1,ear_status_2,0.85,15,24,33.1,33.1,11.2,0.799999999999997,0,-0.707106781186547,-0.707106781186548,0,22.7,0,0
TEMP_R000030,C003,S03,30,142,33.9,38.3,11.2,15,reference_stratum_1,ear_status_2,0.85,16,24,33.9,33.1,11.2,0,0,-0.707106781186547,-0.707106781186548,0,22.7,0,0
TEMP_R000031,C003,S03,31,9,36.4,38.5,9.1,15,reference_stratum_1,ear_status_2,0.85,17,24,33.9,33.9,11.2,2.5,-2.1,-0.707106781186547,-0.707106781186548,0,27.3,0,0
