Method,FoldID,Source,ChosenCandidates,InnerRMSE,TrainingN,Weight_direct_xgb,Weight_ridge,Configuration,Weight_global_exact,Weight_global_medium,Weight_global_coarse,Weight_may_session_hour,Weight_xgb_residual,Weight_eb_exact,Weight_eb_medium,Weight_may_session,SelectedLambda,InnerR2,InnerMAE,Beta_0,Beta_1,Beta_2,Beta_3
w/o thermal-state memory/retrieval,1,S03,direct_xgb,0.4012491397200543,202.0,1.0,,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,1,S04,direct_xgb,0.4381760338518099,87.0,1.0,,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,1,S01,direct_xgb+ridge,0.5777632252543821,102.0,0.8500000000000001,0.1499999999999999,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,2,S03,direct_xgb,0.3661297615719219,204.0,1.0,,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,2,S04,direct_xgb,0.4370457399244666,87.0,1.0,,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,2,S01,direct_xgb,0.5945904957932069,104.0,1.0,,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,3,S03,direct_xgb+ridge,0.4081035331061708,204.0,1.0,0.0,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,3,S04,direct_xgb,0.3475506054352299,90.0,1.0,,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,3,S01,direct_xgb+ridge,0.556419509023346,105.0,0.9,0.0999999999999999,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,4,S03,direct_xgb,0.378668423653322,208.0,1.0,,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,4,S04,direct_xgb+ridge,0.4393435272503912,92.0,1.0,0.0,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,4,S01,direct_xgb+ridge,0.5065819267758703,107.0,0.8500000000000001,0.1499999999999999,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,5,S03,direct_xgb+ridge,0.4017321199602395,214.0,1.0,0.0,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,5,S04,direct_xgb+ridge,0.4377794477021028,96.0,1.0,0.0,,,,,,,,,,,,,,,,
w/o thermal-state memory/retrieval,5,S01,direct_xgb,0.5809401431646904,110.0,1.0,,,,,,,,,,,,,,,,,
Pure thermal-state memory,1,S03,,0.2661608238610928,,,,global_k1_t2_e03_a5,,,,,,,,,,,,,,,
Pure thermal-state memory,1,S04,,0.2076136996343496,,,,global_k1_t2_e03_a5,,,,,,,,,,,,,,,
Pure thermal-state memory,1,S01,,0.7333683027872754,,,,global_k2_t2_e06_a5_b1,,,,,,,,,,,,,,,
Pure thermal-state memory,2,S03,,0.2218460869037577,,,,global_k1_t2_e06_a5,,,,,,,,,,,,,,,
Pure thermal-state memory,2,S04,,0.148556270541641,,,,global_k1_t2_e06_a10,,,,,,,,,,,,,,,
Pure thermal-state memory,2,S01,,0.705492909697396,,,,global_k2_t2_e03_a5_b1,,,,,,,,,,,,,,,
Pure thermal-state memory,3,S03,,0.1999999999999997,,,,global_k1_t2_e06_a5,,,,,,,,,,,,,,,
Pure thermal-state memory,3,S04,,0.1810463415200038,,,,global_k1_t2_e06_a5,,,,,,,,,,,,,,,
Pure thermal-state memory,3,S01,,0.7111106600095748,,,,global_k2_t2_e03_a5_b1,,,,,,,,,,,,,,,
Pure thermal-state memory,4,S03,,0.3315899924257707,,,,global_k1_t2_e03_a5,,,,,,,,,,,,,,,
Pure thermal-state memory,4,S04,,0.2748517386899149,,,,global_k1_t2_e03_a5,,,,,,,,,,,,,,,
Pure thermal-state memory,4,S01,,0.6337158806301053,,,,global_k2_t2_e03_a5_b1,,,,,,,,,,,,,,,
Pure thermal-state memory,5,S03,,0.2507931343990141,,,,global_k1_t2_e03_a5,,,,,,,,,,,,,,,
Pure thermal-state memory,5,S04,,0.1399404635312219,,,,global_k1_t2_e03_a5,,,,,,,,,,,,,,,
Pure thermal-state memory,5,S01,,0.6999211210854954,,,,global_k2_t2_e06_a5_b1,,,,,,,,,,,,,,,
Global non-individual thermal cells,1,S03,global_exact,0.1585243506883291,202.0,,,,1.0,,,,,,,,,,,,,,
Global non-individual thermal cells,1,S04,global_exact+global_medium+global_coarse,0.1036876100920521,87.0,,,,1.0,0.0,0.0,,,,,,,,,,,,
Global non-individual thermal cells,1,S01,global_exact+global_coarse+global_medium,0.7110516501483968,102.0,,,,0.65,-5.551115123125783e-17,0.35,,,,,,,,,,,,
Global non-individual thermal cells,2,S03,global_exact+global_medium+global_coarse,0.1772311217317306,204.0,,,,1.0,0.0,0.0,,,,,,,,,,,,
Global non-individual thermal cells,2,S04,global_exact+global_medium+global_coarse,0.1084808302576705,87.0,,,,1.0,0.0,0.0,,,,,,,,,,,,
