RecordID,CowKey,Source,RowID,SourceRowID,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour
MEAS_R000001,C021,S01,1,1,30.0,38.3,13.1,11.0
MEAS_R000002,C021,S01,2,2,30.4,38.3,16.0,12.0
MEAS_R000003,C021,S01,3,3,31.5,38.2,18.3,13.0
MEAS_R000004,C021,S01,4,4,32.6,38.4,20.8,14.0
MEAS_R000005,C021,S01,5,5,32.8,38.1,22.0,15.0
MEAS_R000006,C021,S01,6,6,28.1,38.3,13.4,21.0
MEAS_R000007,C021,S01,7,7,29.3,38.3,11.8,22.0
MEAS_R000008,C021,S01,8,8,29.2,38.2,10.9,23.0
MEAS_R000009,C021,S01,9,9,28.6,38.0,10.9,24.0
MEAS_R000010,C003,S01,10,10,31.4,39.0,5.4,0.0
MEAS_R000011,C003,S01,11,11,33.3,38.8,6.1,11.0
MEAS_R000012,C003,S01,12,12,31.8,38.7,6.9,12.0
MEAS_R000013,C003,S01,13,13,33.6,38.4,6.8,12.0
MEAS_R000014,C003,S01,14,14,33.3,38.5,9.3,13.0
MEAS_R000015,C003,S01,15,15,33.6,38.4,8.0,13.0
MEAS_R000016,C003,S01,16,16,33.1,38.5,11.2,14.0
MEAS_R000017,C003,S01,17,17,33.9,38.3,11.2,15.0
MEAS_R000018,C003,S01,18,18,36.4,38.5,9.1,15.0
MEAS_R000019,C003,S01,19,19,32.0,39.0,9.0,19.0
MEAS_R000020,C003,S01,20,20,32.0,38.6,6.0,21.0
MEAS_R000021,C003,S01,21,21,33.7,38.0,5.5,23.0
MEAS_R000022,C002,S01,22,22,32.9,38.2,5.4,0.0
MEAS_R000023,C002,S01,23,23,30.8,39.5,6.1,11.0
MEAS_R000024,C002,S01,24,24,33.1,39.1,5.0,11.0
MEAS_R000025,C002,S01,25,25,34.2,38.5,6.9,12.0
MEAS_R000026,C002,S01,26,26,36.2,39.3,6.8,12.0
MEAS_R000027,C002,S01,27,27,32.8,39.2,8.0,13.0
MEAS_R000028,C002,S01,28,28,33.9,38.8,9.3,13.0
MEAS_R000029,C002,S01,29,29,36.2,39.0,8.8,14.0
MEAS_R000030,C002,S01,30,30,36.0,38.9,9.1,15.0
MEAS_R000031,C002,S01,31,31,33.7,40.0,9.0,19.0
MEAS_R000032,C002,S01,32,32,32.6,39.7,6.0,21.0
MEAS_R000033,C002,S01,33,33,33.2,39.6,5.4,22.0
MEAS_R000034,C002,S01,34,34,33.5,39.2,5.5,23.0
MEAS_R000035,C029,S01,35,35,31.8,38.1,5.4,0.0
MEAS_R000036,C029,S01,36,36,35.7,38.1,6.1,11.0
MEAS_R000037,C029,S01,37,37,32.9,38.0,6.9,12.0
MEAS_R000038,C029,S01,38,38,33.1,38.2,6.8,12.0
MEAS_R000039,C029,S01,39,39,33.2,38.1,9.3,13.0
MEAS_R000040,C029,S01,40,40,36.3,38.5,8.0,13.0
MEAS_R000041,C029,S01,41,41,33.6,38.5,8.8,14.0
MEAS_R000042,C029,S01,42,42,35.0,38.5,11.2,15.0
MEAS_R000043,C029,S01,43,43,33.2,38.5,9.0,19.0
MEAS_R000044,C029,S01,44,44,31.3,38.4,6.0,21.0
MEAS_R000045,C029,S01,45,45,32.1,38.4,5.4,22.0
MEAS_R000046,C029,S01,46,46,32.2,38.9,5.5,23.0
MEAS_R000047,C001,S01,47,47,29.8,38.0,5.4,0.0
MEAS_R000048,C001,S01,48,48,26.6,38.9,5.0,11.0
MEAS_R000049,C001,S01,49,49,33.1,39.2,6.1,11.0
MEAS_R000050,C001,S01,50,50,31.3,38.3,6.9,12.0
MEAS_R000051,C001,S01,51,51,31.9,38.0,6.8,12.0
MEAS_R000052,C001,S01,52,52,31.6,38.0,9.3,13.0
MEAS_R000053,C001,S01,53,53,33.3,38.2,8.0,13.0
MEAS_R000054,C001,S01,54,54,31.8,38.0,8.8,14.0
MEAS_R000055,C001,S01,55,55,32.0,38.4,9.1,15.0
MEAS_R000056,C001,S01,56,56,33.9,38.1,11.2,15.0
MEAS_R000057,C001,S01,57,57,30.5,38.2,9.0,19.0
MEAS_R000058,C001,S01,58,58,29.6,38.3,6.0,21.0
MEAS_R000059,C001,S01,59,59,30.6,38.1,5.4,22.0
MEAS_R000060,C001,S01,60,60,30.5,38.1,5.5,23.0
MEAS_R000061,C027,S01,61,61,29.5,38.9,5.4,0.0
MEAS_R000062,C027,S01,62,62,30.9,41.5,6.1,11.0
MEAS_R000063,C027,S01,63,63,31.5,38.7,5.0,11.0
MEAS_R000064,C027,S01,64,64,31.9,38.5,6.9,12.0
MEAS_R000065,C027,S01,65,65,31.1,38.6,8.0,13.0
MEAS_R000066,C027,S01,66,66,32.8,38.5,9.3,13.0
MEAS_R000067,C027,S01,67,67,33.8,38.6,8.8,14.0
MEAS_R000068,C027,S01,68,68,30.7,38.5,11.2,15.0
MEAS_R000069,C027,S01,69,69,33.9,38.5,9.1,15.0
MEAS_R000070,C027,S01,70,70,32.3,39.1,9.0,19.0
MEAS_R000071,C027,S01,71,71,32.5,39.1,6.0,21.0
MEAS_R000072,C027,S01,72,72,32.7,38.2,5.5,23.0
