"FoldID","Model","Source","N","R2","RMSE","MAE","Bias"
1,"StrictHierarchicalEBResidualXGB","ALL",122,0.87776874814536,0.253384129640078,0.15259168198424,0.014205643111839
1,"StrictHierarchicalEBResidualXGB","S01",122,0.87776874814536,0.253384129640078,0.15259168198424,0.014205643111839
2,"StrictHierarchicalEBResidualXGB","ALL",122,0.846010525149631,0.312868293933809,0.15715984010444,-0.0172264039336324
2,"StrictHierarchicalEBResidualXGB","S01",122,0.846010525149631,0.312868293933809,0.15715984010444,-0.0172264039336324
3,"StrictHierarchicalEBResidualXGB","ALL",97,0.832787151660669,0.330824557457534,0.217422331643879,0.0523720209051248
3,"StrictHierarchicalEBResidualXGB","S01",97,0.832787151660669,0.330824557457534,0.217422331643879,0.0523720209051248
4,"StrictHierarchicalEBResidualXGB","ALL",94,0.856721819154076,0.292066312321044,0.173655189983578,-0.0719829823676739
4,"StrictHierarchicalEBResidualXGB","S01",94,0.856721819154076,0.292066312321044,0.173655189983578,-0.0719829823676739
5,"StrictHierarchicalEBResidualXGB","ALL",85,0.817561116576809,0.294985857055693,0.163745345018764,-0.0238404005254786
5,"StrictHierarchicalEBResidualXGB","S01",85,0.817561116576809,0.294985857055693,0.163745345018764,-0.0238404005254786
