Seed,Method,FoldID,Source,Configuration,InnerRMSE,ChosenCandidates,TrainingN,Weight_global_exact,Weight_global_coarse,Weight_global_medium,SelectedLambda,Beta_0,Beta_1,Beta_2
20260523,Pure thermal-state memory,1,S01,global_k2_t2_e06_a5_b1,0.8351876212217655,,,,,,,,,
20260523,Pure thermal-state memory,2,S01,global_k2_t2_e06_a5_b1,0.8101559438966027,,,,,,,,,
20260523,Pure thermal-state memory,3,S01,global_k2_t2_e06_a5_b1,0.7800875394051727,,,,,,,,,
20260523,Pure thermal-state memory,4,S01,global_k2_t2_e06_a5_b1,0.8356369416350942,,,,,,,,,
20260523,Pure thermal-state memory,5,S01,global_k2_t2_e06_a5_b1,0.8159140907194915,,,,,,,,,
20260523,Global non-individual thermal cells,1,S01,,0.7001090671480299,global_exact+global_coarse+global_medium,403.0,0.55,0.45,-5.551115123125783e-17,,,,
20260523,Global non-individual thermal cells,2,S01,,0.6960639163921036,global_exact+global_coarse+global_medium,398.0,0.55,0.45,-5.551115123125783e-17,,,,
20260523,Global non-individual thermal cells,3,S01,,0.6999795159432475,global_exact+global_coarse+global_medium,430.0,0.5,0.35000000000000003,0.14999999999999997,,,,
20260523,Global non-individual thermal cells,4,S01,,0.701192122429498,global_exact+global_coarse+global_medium,430.0,0.55,0.45,-5.551115123125783e-17,,,,
20260523,Global non-individual thermal cells,5,S01,,0.7039024112730987,global_exact+global_coarse+global_medium,419.0,0.55,0.30000000000000004,0.1499999999999999,,,,
20260523,w/o thermal-state memory/retrieval,1,,,0.39588233004917295,,,,,,1.0,-0.2042149880187291,0.28574583391986136,0.7197638127073587
20260523,w/o thermal-state memory/retrieval,2,,,0.37792073512470536,,,,,,0.0,-2.1477074175176623,0.1673814877960862,0.8878499677675242
20260523,w/o thermal-state memory/retrieval,3,,,0.39134313458108266,,,,,,0.1,-0.7787359082119996,0.2613868807685409,0.7586588486730435
20260523,w/o thermal-state memory/retrieval,4,,,0.3933917820094268,,,,,,0.1,-1.154127183251204,0.26320832439644026,0.7664866066480966
20260523,w/o thermal-state memory/retrieval,5,,,0.37559765654620886,,,,,,0.1,-1.1084754366825562,0.07729120009307133,0.9507920764086504
20260523,w/o individual/session calibration,1,,,0.6993761650691486,,,,,,0.1,2.9495839389962653,0.15738285021395151,0.7674330014013461
20260523,w/o individual/session calibration,2,,,0.6960723182416076,,,,,,0.1,-1.5762705170304105,0.1626717988202709,0.8781132372018821
20260523,w/o individual/session calibration,3,,,0.6952142718204598,,,,,,1.0,1.8167745644129052,0.24331847728584863,0.7105444047355356
20260523,w/o individual/session calibration,4,,,0.7019755871667116,,,,,,1.0,1.3000925091097097,0.16248084133541804,0.8042555676080292
20260523,w/o individual/session calibration,5,,,0.7057033883900534,,,,,,10.0,10.061526317401482,0.2404222503917948,0.5008142542061236
20260523,w/o hierarchical residual correction,1,,,0.3262870005834518,,,,,,0.1,0.7228394859241998,0.12063950306828002,0.8608570595542492
20260523,w/o hierarchical residual correction,2,,,0.3049101185637799,,,,,,0.1,-0.05789737639615134,0.15061004050252516,0.8501589192153451
20260523,w/o hierarchical residual correction,3,,,0.32073737437738836,,,,,,0.1,0.22202726461997646,0.2032164854597239,0.79085893779935
20260523,w/o hierarchical residual correction,4,,,0.3141826298458072,,,,,,0.1,0.011213758807488561,0.1657502819180759,0.8336157116851696
20260523,w/o hierarchical residual correction,5,,,0.31257731240349307,,,,,,0.1,-0.2420248630294595,0.15134395732371939,0.8544799157202244
20260607,Pure thermal-state memory,1,S01,global_k2_t2_e06_a10_b05,0.8541422226869789,,,,,,,,,
20260607,Pure thermal-state memory,2,S01,global_k2_t2_e06_a5_b1,0.7788111536755197,,,,,,,,,
20260607,Pure thermal-state memory,3,S01,global_k2_t2_e06_a10_b05,0.7911154796224,,,,,,,,,
20260607,Pure thermal-state memory,4,S01,global_k2_t2_e06_a5_b1,0.8349454679878582,,,,,,,,,
20260607,Pure thermal-state memory,5,S01,global_k2_t2_e06_a5_b1,0.7735471934921259,,,,,,,,,
20260607,Global non-individual thermal cells,1,S01,,0.7126214045750122,global_exact+global_coarse+global_medium,397.0,0.75,0.25,0.0,,,,
20260607,Global non-individual thermal cells,2,S01,,0.6921432556356162,global_exact+global_coarse+global_medium,406.0,0.6000000000000001,0.4,-1.1102230246251565e-16,,,,
20260607,Global non-individual thermal cells,3,S01,,0.7019818108233413,global_exact+global_coarse+global_medium,420.0,0.75,0.25,0.0,,,,
20260607,Global non-individual thermal cells,4,S01,,0.7110361703695239,global_exact+global_coarse+global_medium,421.0,0.7000000000000001,0.30000000000000004,-1.1102230246251565e-16,,,,
