"FoldID","HeatSegment","AlphaBatchModel","MemoryWeight","ConfigID","MemoryFamily","InnerOOFRMSE","InnerOOFN","ShrinkAlpha","ShrinkBeta"
1,"may_hot_air30",0.8,0.2,"session_k3_o06_t2_e08_a35_b075","batch_session",0.382488137547188,84,1.05,0
1,"may_other",0.78,0.22,"global_k1_t2_e03_a5","global_feature",0.488408423773137,18,1.05,0
1,"S03",0.18,0.82,"global_k1_t2_e06_a5","global_feature",0.258536257519066,202,1.05,0
1,"S04",0.14,0.86,"global_k1_t2_e06_a5","global_feature",0.197362347055181,87,1.05,0
2,"may_hot_air30",0.46,0.54,"source_k5_o12_t3_e08_a40_b080","batch_session",0.437806657069691,87,1.05,0
2,"may_other",0.88,0.12,"global_k2_t2_e03_a5_b05","global_feature",0.516399454282179,17,1.05,0
2,"S03",0.28,0.72,"global_k1_t2_e03_a5","global_feature",0.279571064551642,204,1.05,0
2,"S04",0.04,0.96,"global_k1_t2_e03_a5","global_feature",0.132268385440725,87,1.05,0
3,"may_hot_air30",0.54,0.46,"session_k3_o06_t2_e08_a35_b075","batch_session",0.402845129394003,86,1.05,0
3,"may_other",0.72,0.28,"global_k2_t2_e03_a5_b05","global_feature",0.521313361194197,19,1.05,0
3,"S03",0.26,0.74,"global_k1_t2_e03_a5","global_feature",0.263194054535051,204,1.05,0
3,"S04",0.12,0.88,"global_k1_t2_e03_a5","global_feature",0.210296746546929,90,1.05,0
4,"may_hot_air30",0.66,0.34,"session_k3_o06_t2_e08_a35_b075","batch_session",0.387148235174451,93,1.05,0
4,"may_other",0.9,0.1,"source_k8_o20_t4_e12_a60_b100","batch_session",0.65118209365873,14,1.05,0
4,"S03",0.3,0.7,"global_k1_t2_e06_a5","global_feature",0.260549020646135,208,1.05,0
4,"S04",0.08,0.92,"global_k1_t2_e06_a5","global_feature",0.178302441787343,92,1.05,0
5,"may_hot_air30",0.78,0.22,"source_k5_o12_t3_e08_a40_b080","batch_session",0.44288465012111,94,1.05,0
5,"may_other",0.9,0.1,"session_k3_o06_t2_e08_a35_b075","batch_session",0.339089570950731,16,1.05,0
5,"S03",0.14,0.86,"global_k1_t2_e06_a5","global_feature",0.227750434869096,214,1.05,0
5,"S04",0.12,0.88,"global_k1_t2_e06_a5","global_feature",0.20707600060621,96,1.05,0
