Seed,RecordID,RowID,CowKey,Ear_C,Air_C,Time_hour,EarAirGap_C,SHAP_Ear_temperature_C,SHAP_Ambient_temperature_C,SHAP_Time_diurnal_C,SHAP_Cow_identity_C,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,OfficialOOFPrediction_C,ConditionalVsOfficialDifference_C,RawTechnicalBaselinePrediction_C,RawFullPipelinePrediction_C,ReplayAnchorCorrection_C
20260523,MEAS_R000001,1,C021,30.0,13.1,11,16.9,-0.023681666537902,-0.0002366619489979,0.117636666239649,0.10558080998045,38.0848651244826,38.28416427221576,38.2841642722158,3.552713678800501e-14,38.28416427221576,0.0,38.0837419520696,38.2830410998028,0.0011231724129601
20260903,MEAS_R000002,2,C021,30.4,16.0,12,14.4,0.0124859134014918,0.0078051983032931,0.000308574394408,-0.264921609045491,38.4474887167,38.203166793753695,38.2031667937537,7.105427357601002e-15,38.203166793753695,0.0,38.451082570832,38.2067606478857,-0.0035938541320064
20260607,MEAS_R000003,3,C021,31.5,18.3,13,13.2,-0.0090609947235596,0.0011768912723901,-0.0120101827712276,0.130888054212791,38.0793917575967,38.19038552558712,38.19038552558709,-2.842170943040401e-14,38.19038552558712,0.0,38.0781611286932,38.1891548966836,0.0012306289035208
20260607,MEAS_R000004,4,C021,32.6,20.8,14,11.8,-0.0422809634953675,-0.0223006489148183,0.003215755612666,0.0660347479544162,38.1844032101023,38.1890721012592,38.18907210125921,7.105427357601002e-15,38.1890721012592,0.0,38.1840396721364,38.1887085632933,0.000363537965903
20260523,MEAS_R000005,5,C021,32.8,22.0,15,10.8,-0.0159340895148704,-0.0215355363384013,0.0024999694024667,0.0674302627448995,38.2068334961924,38.23929410248645,38.2392941024865,4.973799150320701e-14,38.23929410248645,0.0,38.2060597609734,38.2385203672675,0.0007737352189565
20260607,MEAS_R000006,6,C021,28.1,13.4,21,14.7,-0.0183270311532488,0.0314871675514,0.278839530497034,-0.0487887200691812,38.0897292369962,38.332940183822224,38.332940183822195,-2.842170943040401e-14,38.332940183822224,0.0,38.1216470096917,38.3648579565177,-0.0319177726954791
20260607,MEAS_R000007,7,C021,29.3,11.8,22,17.5,-0.112772784489634,0.0069248357789841,0.210079741890867,0.0286910958128838,38.0867340785506,38.21965696754368,38.21965696754369,1.4210854715202004e-14,38.21965696754368,0.0,38.0840417903599,38.216964679353,0.0026922881906799
20260811,MEAS_R000008,8,C021,29.2,10.9,23,18.3,-0.0012356989998512,-0.0046403073520995,-0.0880690366155488,-0.170975418959101,38.4687034798488,38.20378301792219,38.2037830179222,7.105427357601002e-15,38.20378301792219,0.0,38.466943571369,38.2020231094424,0.0017599084797907
20260811,MEAS_R000009,9,C021,28.6,10.9,24,17.7,-0.0544537450589845,-0.0087785236994169,-0.0111399772970996,-0.116265046794299,38.438202371641,38.24756507879125,38.2475650787912,-4.973799150320701e-14,38.24756507879125,0.0,38.4366669511128,38.246029658263,0.0015354205282491
20260811,MEAS_R000010,10,C003,31.4,5.4,0,26.0,0.0066084037661067,0.0101245624831936,0.0507541195907735,0.0009694936387247,38.4638505603371,38.53230713981594,38.5323071398159,-4.263256414560601e-14,38.53230713981594,0.0,38.4648527260782,38.533309305557,-0.0010021657410561
