RecordID,Ear,Air,Actual,Predicted
MEAS_R000001,30.0,13.1,38.3,38.28416427221576
MEAS_R000002,30.4,16.0,38.3,38.203166793753695
MEAS_R000003,31.5,18.3,38.2,38.19038552558712
MEAS_R000004,32.6,20.8,38.4,38.1890721012592
MEAS_R000005,32.8,22.0,38.1,38.23929410248645
MEAS_R000006,28.1,13.4,38.3,38.332940183822224
MEAS_R000007,29.3,11.8,38.3,38.21965696754368
MEAS_R000008,29.2,10.9,38.2,38.20378301792219
MEAS_R000009,28.6,10.9,38.0,38.24756507879125
MEAS_R000010,31.4,5.4,39.0,38.53230713981594
MEAS_R000011,33.3,6.1,38.8,38.55884951596989
MEAS_R000012,31.8,6.9,38.7,38.48979091960168
MEAS_R000013,33.6,6.8,38.4,38.50923317470524
MEAS_R000014,33.3,9.3,38.5,38.46813750456423
MEAS_R000015,33.6,8.0,38.4,38.4743731156197
MEAS_R000016,33.1,11.2,38.5,38.46088448809713
MEAS_R000017,33.9,11.2,38.3,38.49375846830409
MEAS_R000018,36.4,9.1,38.5,38.51672752346851
MEAS_R000019,32.0,9.0,39.0,38.574467859589305
MEAS_R000020,32.0,6.0,38.6,38.74459719497534
MEAS_R000021,33.7,5.5,38.0,38.63568394799033
MEAS_R000022,32.9,5.4,38.2,39.13096977848674
MEAS_R000023,30.8,6.1,39.5,39.06691837786867
MEAS_R000024,33.1,5.0,39.1,39.1446313610854
MEAS_R000025,34.2,6.9,38.5,39.05013981223831
MEAS_R000026,36.2,6.8,39.3,38.97382488358415
MEAS_R000027,32.8,8.0,39.2,39.012800075942096
MEAS_R000028,33.9,9.3,38.8,38.95127278281427
MEAS_R000029,36.2,8.8,39.0,38.96493319853481
MEAS_R000030,36.0,9.1,38.9,39.04945387510666
MEAS_R000031,33.7,9.0,40.0,39.221920073099845
MEAS_R000032,32.6,6.0,39.7,39.30717626107811
MEAS_R000033,33.2,5.4,39.6,39.16224619353821
MEAS_R000034,33.5,5.5,39.2,39.31119063570729
MEAS_R000035,31.8,5.4,38.1,38.39980015193501
MEAS_R000036,35.7,6.1,38.1,38.36201141642152
MEAS_R000037,32.9,6.9,38.0,38.306016222403294
MEAS_R000038,33.1,6.8,38.2,38.26787787227097
MEAS_R000039,33.2,9.3,38.1,38.28979243966296
MEAS_R000040,36.3,8.0,38.5,38.27305987053797
MEAS_R000041,33.6,8.8,38.5,38.27072096624463
MEAS_R000042,35.0,11.2,38.5,38.280337880858205
MEAS_R000043,33.2,9.0,38.5,38.42805913028835
MEAS_R000044,31.3,6.0,38.4,38.43534321650056
MEAS_R000045,32.1,5.4,38.4,38.56276610811963
MEAS_R000046,32.2,5.5,38.9,38.345999580330215
MEAS_R000047,29.8,5.4,38.0,38.3186189388211
MEAS_R000048,26.6,5.0,38.9,38.45744118965826
MEAS_R000049,33.1,6.1,39.2,38.32583044181863
MEAS_R000050,31.3,6.9,38.3,38.16337994336986
MEAS_R000051,31.9,6.8,38.0,38.21336837808966
MEAS_R000052,31.6,9.3,38.0,38.172612603332055
MEAS_R000053,33.3,8.0,38.2,38.19855093859638
MEAS_R000054,31.8,8.8,38.0,38.20459339238616
MEAS_R000055,32.0,9.1,38.4,38.17875770373334
MEAS_R000056,33.9,11.2,38.1,38.17825164593397
MEAS_R000057,30.5,9.0,38.2,38.370069073889056
MEAS_R000058,29.6,6.0,38.3,38.26085083510176
MEAS_R000059,30.6,5.4,38.1,38.25241565769213
MEAS_R000060,30.5,5.5,38.1,38.19551840281464
MEAS_R000061,29.5,5.4,38.9,38.93581047896491
MEAS_R000062,30.9,6.1,41.5,38.87554600714214
MEAS_R000063,31.5,5.0,38.7,39.919430514499815
MEAS_R000064,31.9,6.9,38.5,38.66638088017872
MEAS_R000065,31.1,8.0,38.6,38.69978099644637
MEAS_R000066,32.8,9.3,38.5,38.67149809482635
MEAS_R000067,33.8,8.8,38.6,38.69323931396333
MEAS_R000068,30.7,11.2,38.5,38.80733756477122
MEAS_R000069,33.9,9.1,38.5,38.73774061794429
MEAS_R000070,32.3,9.0,39.1,38.95095026443894
MEAS_R000071,32.5,6.0,39.1,38.99044776009627
MEAS_R000072,32.7,5.5,38.2,38.98416579854637
MEAS_R000073,28.6,5.4,38.3,38.63323171753824
MEAS_R000074,33.9,8.0,38.5,38.6388147024368
MEAS_R000075,33.9,11.2,38.6,38.58485454538234
MEAS_R000076,30.6,9.0,39.0,38.7595483230013
MEAS_R000077,30.7,6.0,39.1,38.763540433481225
MEAS_R000078,30.6,5.4,38.9,38.67392221962339
MEAS_R000079,30.7,5.5,38.6,38.734075779691146
MEAS_R000080,28.7,5.4,38.9,38.6557088664675
MEAS_R000081,31.8,6.1,39.2,38.6344145942498
MEAS_R000082,32.2,6.9,38.0,38.56706193054092
MEAS_R000083,31.9,9.3,38.1,38.55843806382964
MEAS_R000084,33.0,8.8,38.3,38.50469413472642
MEAS_R000085,33.2,9.1,38.7,38.44785529455858
MEAS_R000086,32.1,9.0,39.4,38.68907333177586
MEAS_R000087,31.1,6.0,38.6,38.8824102210488
MEAS_R000088,31.8,5.5,38.8,38.65883484320667
MEAS_R000089,25.4,5.4,38.1,38.422021963000645
MEAS_R000090,25.3,5.0,38.3,38.31777963133626
MEAS_R000091,32.2,6.1,38.1,38.47284873307486
MEAS_R000092,29.7,6.9,38.1,38.53649365696457
MEAS_R000093,32.8,6.8,38.7,38.43270307893928
MEAS_R000094,31.3,9.3,38.2,38.51755239491003
MEAS_R000095,32.5,8.0,38.7,38.48604966164369
MEAS_R000096,31.2,8.8,39.0,38.37264100492538
MEAS_R000097,32.3,9.1,39.5,38.349995945455774
MEAS_R000098,33.3,11.2,38.0,38.60778592700649
MEAS_R000099,32.9,9.0,38.3,38.428889802633776
MEAS_R000100,31.5,6.0,38.2,38.44459143431168
