RecordID,CandidateCowKey,Source,CandidateValueClass,RequiredNumericValuesValid,EligibleRecordsForAnimal,IncludedInAnalysis,SelectionReason
TEMP_R000001,C021,S03,real_reference_measurement,1,9,1,included_fixed_real_ge8_analysis_set
TEMP_R000002,C021,S03,real_reference_measurement,1,9,1,included_fixed_real_ge8_analysis_set
TEMP_R000003,C021,S03,real_reference_measurement,1,9,1,included_fixed_real_ge8_analysis_set
TEMP_R000004,C021,S03,real_reference_measurement,1,9,1,included_fixed_real_ge8_analysis_set
TEMP_R000005,C021,S03,real_reference_measurement,1,9,1,included_fixed_real_ge8_analysis_set
TEMP_R000006,C021,S03,real_reference_measurement,1,9,1,included_fixed_real_ge8_analysis_set
TEMP_R000007,C021,S03,real_reference_measurement,1,9,1,included_fixed_real_ge8_analysis_set
TEMP_R000008,C021,S03,real_reference_measurement,1,9,1,included_fixed_real_ge8_analysis_set
TEMP_R000009,C021,S03,real_reference_measurement,1,9,1,included_fixed_real_ge8_analysis_set
TEMP_R000010,X005,S03,real_reference_measurement,1,5,0,excluded_animal_fewer_than_8_eligible_records
TEMP_R000011,X005,S03,real_reference_measurement,1,5,0,excluded_animal_fewer_than_8_eligible_records
TEMP_R000012,X005,S03,real_reference_measurement,1,5,0,excluded_animal_fewer_than_8_eligible_records
TEMP_R000013,X005,S03,real_reference_measurement,1,5,0,excluded_animal_fewer_than_8_eligible_records
TEMP_R000014,X005,S03,real_reference_measurement,1,5,0,excluded_animal_fewer_than_8_eligible_records
TEMP_R000015,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000016,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000017,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000018,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000019,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000020,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000021,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000022,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000023,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000024,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000025,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000026,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000027,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000028,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000029,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000030,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000031,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000032,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000033,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000034,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000035,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000036,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000037,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000038,C003,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000039,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000040,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000041,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000042,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000043,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000044,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000045,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000046,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000047,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000048,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000049,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000050,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000051,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000052,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000053,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000054,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000055,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000056,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000057,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000058,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000059,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000060,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000061,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000062,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000063,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000064,C002,S03,real_reference_measurement,1,26,1,included_fixed_real_ge8_analysis_set
TEMP_R000065,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000066,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000067,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000068,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000069,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000070,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000071,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000072,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000073,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000074,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000075,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000076,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000077,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000078,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000079,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000080,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000081,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000082,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000083,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000084,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000085,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000086,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000087,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000088,C029,S03,real_reference_measurement,1,24,1,included_fixed_real_ge8_analysis_set
TEMP_R000089,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000090,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000091,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000092,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000093,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000094,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000095,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000096,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000097,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000098,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000099,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000100,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000101,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000102,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000103,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000104,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000105,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000106,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000107,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000108,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000109,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000110,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000111,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000112,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000113,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000114,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
TEMP_R000115,C001,S03,real_reference_measurement,1,28,1,included_fixed_real_ge8_analysis_set
