PacketRecordID,TestDayCode,TestRound,Distance_m,Direction,Azimuth_deg,PacketSequence,Received,RSSI_dBm,SNR_dB,ObstructionClass,GatewaySiteCode,TransmitterSiteCode,SourceSentinelValue,SignalMetricValid
LORA_050M_N_001,DAY_01,1,50,N,0,1,1,-70.7,11.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_002,DAY_01,1,50,N,0,2,1,-71.4,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_003,DAY_01,1,50,N,0,3,1,-69.6,10.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_004,DAY_01,1,50,N,0,4,1,-68.5,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_005,DAY_01,1,50,N,0,5,1,-66.1,9.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_006,DAY_01,1,50,N,0,6,1,-70.6,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_007,DAY_01,1,50,N,0,7,1,-70.3,10.2,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_008,DAY_01,1,50,N,0,8,1,-70.1,10.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_009,DAY_01,1,50,N,0,9,1,-66.4,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_010,DAY_01,1,50,N,0,10,1,-67.7,9.2,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_011,DAY_01,1,50,N,0,11,1,-79.5,9.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_012,DAY_01,1,50,N,0,12,1,-70.5,11.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_013,DAY_01,1,50,N,0,13,1,-69.1,8.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_014,DAY_01,1,50,N,0,14,1,-72.1,10.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_015,DAY_01,1,50,N,0,15,1,-71.1,8.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_016,DAY_01,1,50,N,0,16,1,-71.3,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_017,DAY_01,1,50,N,0,17,1,-70.1,11.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_018,DAY_01,1,50,N,0,18,1,-72.4,8.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_019,DAY_01,1,50,N,0,19,1,-70.3,10.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_020,DAY_01,1,50,N,0,20,1,-70.5,10.4,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_021,DAY_01,1,50,N,0,21,1,-69.3,10.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_022,DAY_01,1,50,N,0,22,1,-71.5,9.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_023,DAY_01,1,50,N,0,23,1,-64.5,9.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_024,DAY_01,1,50,N,0,24,1,-65.6,11.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_025,DAY_01,1,50,N,0,25,1,-69.9,10.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_026,DAY_01,1,50,N,0,26,1,-74.7,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_027,DAY_01,1,50,N,0,27,1,-71.3,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_028,DAY_01,1,50,N,0,28,1,-69.3,10.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_029,DAY_01,1,50,N,0,29,1,-68,8.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_030,DAY_01,1,50,N,0,30,1,-69.8,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_031,DAY_01,1,50,N,0,31,1,-69.3,9.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
