RecordID,RowID,FoldID,CowKey,Source,Ear,Air,Time,Actual,A_full,B_full,C_full,OriginalFullPrediction,BatchModelPredicted,BatchMemoryPredicted,SourceWeight,eb_exact,eb_medium,eb_coarse,global_exact,global_medium,global_coarse,may_session,may_session_hour,ridge,xgb_residual,direct_xgb,NoMemoryDirectRoute,PureMemory,GlobalThermalCells,C_without_sourcewise_selection,C_without_XGB_candidates
TEMP_R000002,2,1,C021,S03,30.4,16.0,12,38.3,38.0080499797426,38.0231187982091,38.4858007267053,38.239046553636335,38.1284377678283,38.0,0.85,38.263992413437,38.3022801221938,38.311852049383,38.6103021875698,38.1582264930737,38.6103021875698,38.2534045743203,38.2522073960925,38.2885576944877,38.1981316150756,38.0657691955566,38.0657691955566,38.0,38.6103021875698,38.46706427097888,38.4371473005034
TEMP_R000006,6,1,C021,S03,28.1,13.4,21,38.3,38.0351502843593,38.0553200066532,38.4941613281756,38.25845076640236,38.3073333702954,38.0,0.85,38.263992413437,38.3642363496724,38.3892973337312,38.6103021875698,38.6103021875698,38.6103021875698,38.2534045743203,38.472365025534,38.6981936428886,38.3653436444833,38.3038749694824,38.3038749694824,38.5,38.6103021875698,38.555127322755474,38.4371473005034
TEMP_R000019,19,1,C003,S03,31.8,6.9,12,38.7,38.6947914741209,38.6816135815074,38.689235651714,38.6812178001867,38.5978532305968,38.7,0.85,38.6852434655039,38.6519273198239,38.6233238164788,38.6965500841373,38.5896904562192,38.4256438867231,38.6104208395364,38.4855589410244,38.5311791988724,38.6181011474721,38.4601860046387,38.4601860046387,38.7,38.6965500841373,38.61215362689214,38.6908967748206
TEMP_R000021,21,1,C003,S03,33.6,6.8,12,38.4,38.4192795337088,38.4244642752981,38.6137922773441,38.509484393243504,38.5359126405452,38.4,0.85,38.6262173275194,38.5918364696038,38.5807259367449,38.6103021875698,38.6103021875698,38.6103021875698,38.6104208395364,38.4855589410244,38.5848085293065,38.5846131433566,38.4605293273926,38.4605293273926,38.4,38.6103021875698,38.56040488895164,38.6182597575446
TEMP_R000022,22,1,C003,S03,33.6,6.8,12,38.4,38.4258794029537,38.416380955555,38.6133376791212,38.50822558478585,38.4910053086387,38.4,0.85,38.6262173275194,38.5918364696038,38.5807259367449,38.6103021875698,38.6103021875698,38.6103021875698,38.6104208395364,38.4855589410244,38.5329493369429,38.5755211788994,38.428638458252,38.428638458252,38.4,38.6103021875698,38.56040488895164,38.6182597575446
TEMP_R000029,29,1,C003,S03,33.9,11.2,15,38.3,38.3298995397837,38.1573142307216,38.3216100703684,38.24254197259352,38.4184123928979,38.1,0.85,38.3497069728212,38.4128349628113,38.4704754157915,38.3040829235207,38.317103270181,38.241030218757,38.6104208395364,38.4855589410244,38.583734202922,38.380881564673,38.4522361755371,38.4522361755371,38.1,38.3040829235207,38.37667333052218,38.32689494817095
TEMP_R000038,38,1,C003,S03,33.7,5.5,23,38.0,38.0763584329491,38.1127508020582,38.0582155709129,38.02339733181096,38.6263933447675,38.0,0.85,38.1007434655039,38.2317283781904,38.3490578729005,38.0234731610604,38.4219718703431,38.8157574553671,38.6104208395364,38.2683693676981,38.8355851563177,38.2546995314497,38.6398162841797,38.6398162841797,38.0,38.0234731610604,38.12143164371548,38.06210831328215
TEMP_R000043,43,1,C002,S03,33.1,5.0,11,39.1,39.0811775755352,39.1003661024134,39.0947483864821,39.11682032614151,39.1020339022967,39.1,0.85,39.1182775912747,39.111141429142,39.0957056695681,39.0811654687527,39.0270662832551,38.9367673958566,39.0940671838021,39.2987813741646,39.1751552836153,39.1301510882088,39.0730514526367,39.0730514526367,39.1,39.0811654687527,39.16821183091746,39.099721530013696
TEMP_R000047,47,1,C002,S03,36.2,6.8,12,39.3,39.2520658505822,39.24062199345,39.2547704663189,39.28526959426917,38.9701221858333,39.3,0.85,39.2362775912747,39.1123770038985,39.0239217757126,39.2734731610604,39.1972790492125,39.0701007291899,39.0940671838021,38.8770951696002,38.9926449320564,39.1225926849447,38.9053344726562,38.9053344726562,39.3,39.2734731610604,39.11492196447632,39.25487537616755
TEMP_R000050,50,1,C002,S03,32.8,8.0,13,39.2,39.1673765913735,39.1898181316874,39.1703342577394,39.20402363377234,39.1434340649301,39.2,0.85,39.1679442579414,39.0770586512485,39.0093952898946,39.1773193149065,39.1121726662338,38.9517170312616,39.0940671838021,38.8770951696002,39.0721043710505,39.0938685133555,38.9506034851074,38.9506034851074,39.2,39.1773193149065,39.05722965678397,39.17263178642395
TEMP_R000054,54,1,C002,S03,36.2,8.8,14,39.0,38.9859628173875,38.9923357087141,38.9939052289846,39.00756465346638,38.9574206039674,39.0,0.85,39.016006173541,38.9854709470522,38.9626227728745,38.9850116225988,38.9419599002764,38.8701007291899,39.0940671838021,38.8770951696002,38.9274670932272,38.9769164446619,38.8923606872559,38.8923606872559,39.0,38.9850116225988,38.94184504139936,39.000508898069896
TEMP_R000057,57,1,C002,S03,33.7,9.0,19,40.0,39.9895440080014,39.9415285312728,39.9073783130855,40.016660814980106,39.675158507071,40.0,0.85,39.851006173541,39.6306662940359,39.4356322171976,39.9465500841373,39.7930237300636,39.5367673958566,39.0940671838021,39.6355359414099,39.2471633470254,39.7363781266785,39.3968391418457,39.3968391418457,40.0,39.9465500841373,39.82214442704633,39.89877812883916
TEMP_R000063,63,1,C002,S03,33.5,5.5,23,39.2,39.223595562874,39.2477592931017,39.1638266436494,39.22758079305443,39.4653294061207,39.2,0.85,39.183006173541,39.1149581265394,39.0580348607866,39.1563186805607,38.4219718703431,38.8157574553671,39.0940671838021,39.3512002528618,39.3665775574447,39.1463529844527,39.2186813354492,39.2186813354492,39.2,39.1563186805607,39.23427130948114,39.16966242705085
TEMP_R000065,65,1,C029,S03,31.8,5.4,0,38.1,38.1091928711884,38.1226322456455,38.128577603309,38.0745091124222,38.2257346980304,38.1,0.85,38.1403684655039,38.2064658337475,38.26447857684,38.1196270072142,38.1760024534678,38.2701007291899,38.3459158890414,38.2271249715829,38.2421058825777,38.174190179372,38.3053092956543,38.3053092956543,38.1,38.1196270072142,38.16262619296168,38.12999773635904
TEMP_R000075,75,1,C029,S03,36.3,8.0,13,38.5,38.8389445549664,38.8649609629953,38.4948118090811,38.64570003900256,38.2497831277519,39.0,0.85,38.276153304017,38.3126878373288,38.3328310521578,38.6103021875698,38.6103021875698,38.6103021875698,38.3459158890414,38.2455606111027,38.262064170562,38.3053879191131,38.3033447265625,38.3033447265625,39.0,38.6103021875698,38.46440555698295,38.4432277457934
TEMP_R000076,76,1,C029,S03,36.3,8.0,13,38.5,38.8498307134608,38.8712440855595,38.4943150691637,38.649320174337234,38.2846893642193,39.0,0.85,38.276153304017,38.3126878373288,38.3328310521578,38.6103021875698,38.6103021875698,38.6103021875698,38.3459158890414,38.2455606111027,38.1216459595586,38.2954531207644,38.2650604248047,38.2650604248047,39.0,38.6103021875698,38.46440555698295,38.4432277457934
TEMP_R000079,79,1,C029,S03,35.0,11.2,15,38.5,38.4553934547392,38.4295036041758,38.4917367984313,38.44538295414607,38.1083533565321,38.5,0.85,38.4743684655039,38.4605556066006,38.4464712465074,38.5042423918296,38.5164279853827,38.5367673958566,38.3459158890414,38.2455606111027,38.187418781467,38.4333740818172,38.3091812133789,38.3091812133789,38.5,38.5042423918296,38.40076967953883,38.48930542866675
TEMP_R000086,86,1,C029,S03,32.1,5.4,22,38.4,38.4474225267983,38.4132189100895,38.4041113422284,38.38707521784976,38.4734383893861,38.4,0.85,38.3908684655039,38.4108181870224,38.4258968941449,38.4080885456758,38.431321602404,38.4701007291899,38.3459158890414,38.6698742862103,38.4473923110391,38.4318649577589,38.467643737793,38.467643737793,38.4,38.4080885456758,38.5128028418896,38.399478505589855
TEMP_R000091,91,1,C001,S03,26.6,5.0,11,38.9,38.9087871723302,38.8312882906612,38.8685196764836,38.872262250358204,38.5182682814509,38.9,0.85,38.8340122691105,38.7779016771095,38.7027862493964,38.888857776445,38.8568535172976,38.8034340625233,38.2866934486443,38.977772336722,38.3086574464214,38.8111688212233,38.6568336486816,38.6568336486816,38.9,38.888857776445,38.9244236005558,38.86143502277776
TEMP_R000102,102,1,C001,S03,33.3,8.0,13,38.2,38.1876790040872,38.2184571803915,38.2206331096584,38.17179790536659,38.3025398910638,38.2,0.85,38.2016789357772,38.2260411214382,38.2536187268657,38.2303927546348,38.3063746412218,38.4183836979283,38.2866934486443,38.1621639312344,38.1683474955995,38.2074827682525,38.2367668151855,38.2367668151855,38.2,38.2303927546348,38.20310122527464,38.216035845206
TEMP_R000103,103,1,C001,S03,31.8,8.8,14,38.0,38.0486674167691,38.0446086956696,38.0346187069785,37.98465021458757,38.2478260870534,38.0,0.85,38.0469771107942,38.1296278384468,38.2017699516326,38.0234731610604,38.0908960704891,38.2034340625233,38.2866934486443,38.1621639312344,38.1139616176517,38.1053603810212,38.3093681335449,38.3093681335449,38.0,38.0234731610604,38.07894946913,38.035225135927305
TEMP_R000109,109,1,C001,S03,30.5,9.0,19,38.2,38.2336737467106,38.2330466972679,38.2203114553678,38.18477008617974,38.3835927625993,38.2,0.85,38.2139771107942,38.2814898520972,38.3376365388129,38.2157808533681,38.6008289116436,38.602060437514,38.2866934486443,38.3145269039673,38.4880426869185,38.3172153488065,38.5190124511719,38.5190124511719,38.2,38.2157808533681,38.255279273607776,38.214878982081146
TEMP_R000113,113,1,C001,S03,30.6,5.4,22,38.1,38.0948120497239,38.1238973102994,38.1263189933291,38.07069679863984,38.2327628349968,38.1,0.85,38.1304771107942,38.2081669479781,38.2744187880618,38.1196270072142,38.1760024534678,38.2701007291899,38.2866934486443,38.1838309352117,38.4811538576347,38.1883661080324,38.3297157287598,38.3297157287598,38.1,38.1196270072142,38.14530857841319,38.12505205900421
TEMP_R000115,115,1,C001,S03,30.5,5.5,23,38.1,38.0649378507719,38.1202478658575,38.1254032207875,38.063249310154326,38.2124881436525,38.1,0.85,38.1304771107942,38.1974483512673,38.2550391824018,38.1196270072142,38.3709438541723,38.402060437514,38.2866934486443,38.1838309352117,38.5921001067605,38.1700506572012,38.2869682312012,38.2869682312012,38.1,38.1196270072142,38.14530857841319,38.12505205900421
TEMP_R000117,117,1,C027,S03,29.5,5.4,0,38.9,38.9244264782724,38.8429928374658,38.8878332447715,38.89013637875697,38.5832935414766,38.9,0.85,38.8952747155039,38.8548843943536,38.8217086904763,38.888857776445,38.8568535172976,38.8034340625233,38.8698391563681,38.8229250265884,38.8250346738205,38.8298655086219,38.7617301940918,38.7617301940918,38.9,38.888857776445,38.86248467650236,38.89206624597445
TEMP_R000131,131,1,C027,S03,30.7,11.2,15,38.5,38.5564822561871,38.568415386116,38.5189928973133,38.520739356011866,38.8800854784219,38.5,0.85,38.5482770485788,38.5929464947978,38.6426852372201,38.5042423918296,38.5164279853827,38.5367673958566,38.8698391563681,38.5490622108319,38.6231176508849,38.5350445610086,38.6843376159668,38.6843376159668,38.5,38.5042423918296,38.52217031943052,38.5262597202042
TEMP_R000135,135,1,C027,S03,32.3,9.0,19,39.1,39.1090019992657,39.0434141700229,38.9995065244069,39.04951781273833,38.7856342779048,39.1,0.85,38.8713619121448,38.8643214793519,38.8625613711536,39.0637260879681,38.9730413078885,39.0900335763966,38.8698391563681,38.9991322239401,39.0112531317245,38.9335198716835,39.080207824707,39.080207824707,39.1,39.0637260879681,39.037888542356896,38.96754400005645
TEMP_R000136,136,1,C027,S03,32.3,9.0,19,39.1,39.0679871158082,39.0106958169332,38.9987397562867,39.03175126484796,38.6038656496289,39.1,0.85,38.8713619121448,38.8643214793519,38.8625613711536,39.0637260879681,38.9730413078885,39.0900335763966,38.8698391563681,38.9991322239401,39.0487907070978,38.9181845092789,39.0363922119141,39.0363922119141,39.1,39.0637260879681,39.037888542356896,38.96754400005645
TEMP_R000138,138,1,C027,S03,32.5,6.0,21,39.1,39.0450331735259,39.0186235554185,39.0624289047409,39.06737687171214,38.6479086412137,39.1,0.85,39.0622747155039,39.0029198603194,38.9506567427806,39.0637260879681,38.9730413078885,39.2775755468925,38.8698391563681,38.9991322239401,38.834778458808,39.0464906582099,38.9631042480469,38.9631042480469,39.1,39.0637260879681,39.037888542356896,39.063000401736
TEMP_R000143,143,1,C026,S03,33.9,8.0,13,38.5,38.5582945357895,38.504774937614,38.516149913993,38.50141148276471,38.5265274311887,38.5,0.85,38.5320270079734,38.553057712995,38.5737037044473,38.5081705324126,38.528596863444,38.4183836979283,38.6943511667239,38.5757053508425,38.4931563670628,38.5246193106552,38.7011260986328,38.7011260986328,38.5,38.5081705324126,38.53518445978455,38.520098770193
