"FoldID","Source","ChosenModel","InnerOOF_RMSE","InnerOOF_N","eb_exact","eb_medium","eb_coarse","global_exact","global_medium","global_coarse","may_session","may_session_hour","ridge","xgb_residual","direct_xgb"
1,"S01","may_session",0.495608917843131,102,0,0,0,0,0,0,1,0,0,0,0
1,"S03","global_exact+eb_exact+xgb_residual",0.203309271999753,202,0.3,0,0,0.65,0,0,0,0,0,0.0499999999999999,0
1,"S04","global_exact+global_medium+direct_xgb",0.229276603814986,87,0,0,0,0.95,0,0,0,0,0,0,0.0499999999999999
2,"S01","may_session_hour+may_session+direct_xgb",0.419652418358223,104,0,0,0,0,0,0,0.25,0.75,0,0,0
2,"S03","global_exact+eb_exact+xgb_residual",0.208650610441999,204,0.25,0,0,0.75,0,0,0,0,0,0,0
2,"S04","global_exact",0.184636935893382,87,0,0,0,1,0,0,0,0,0,0,0
3,"S01","may_session",0.476398528971647,105,0,0,0,0,0,0,1,0,0,0,0
3,"S03","global_exact+eb_exact+xgb_residual",0.1976308225254,204,0.5,0,0,0.5,0,0,0,0,0,0,0
3,"S04","global_exact+global_medium+may_session_hour",0.191561122507018,90,0,0,0,0.85,0.05,0,0,0.0999999999999999,0,0,0
4,"S01","may_session_hour+may_session+direct_xgb",0.386539868332671,107,0,0,0,0,0,0,0.5,0.5,0,0,0
4,"S03","global_exact+eb_exact+xgb_residual",0.194361276940094,208,0.1,0,0,0.85,0,0,0,0,0,0.0499999999999999,0
4,"S04","global_exact",0.188898565143552,92,0,0,0,1,0,0,0,0,0,0,0
5,"S01","may_session",0.49342473542296,110,0,0,0,0,0,0,1,0,0,0,0
5,"S03","global_exact+eb_exact+xgb_residual",0.207697430792484,214,0.3,0,0,0.65,0,0,0,0,0,0.0499999999999999,0
5,"S04","global_exact",0.217566377791798,96,0,0,0,1,0,0,0,0,0,0,0
