"FoldID","Model","Source","N","R2","RMSE","MAE","Bias"
1,"StrictHierarchicalEBResidualXGB","ALL",112,0.900861911140976,0.205577131878572,0.130253220715802,-0.00808576751746066
1,"StrictHierarchicalEBResidualXGB","S01",30,0.783840093103291,0.315696258672545,0.257331518820962,-0.0154304419849292
1,"StrictHierarchicalEBResidualXGB","S03",56,0.901345744098791,0.16507697270132,0.0940294365634447,-0.0153305301942035
1,"StrictHierarchicalEBResidualXGB","S04",26,0.966451762121185,0.0914398880843245,0.0616448733841534,0.0159929610949106
2,"StrictHierarchicalEBResidualXGB","ALL",108,0.842598247614448,0.267803290625892,0.14007778993129,0.00161512662405187
2,"StrictHierarchicalEBResidualXGB","S01",28,0.441273491714,0.50241171166955,0.395626644592266,0.0779830753603302
2,"StrictHierarchicalEBResidualXGB","S03",54,0.969493558773526,0.102709311655083,0.0556844719475529,-0.0266466135125847
2,"StrictHierarchicalEBResidualXGB","S04",26,0.985293653376994,0.0645282693845754,0.0401497607241536,-0.0219298194235412
3,"StrictHierarchicalEBResidualXGB","ALL",104,0.824950866131199,0.291979678540886,0.171303126087162,-0.0171472146589332
3,"StrictHierarchicalEBResidualXGB","S01",27,0.609489823698357,0.478139301983773,0.341905242036526,0.0273057298446928
3,"StrictHierarchicalEBResidualXGB","S03",54,0.833584754501993,0.183958201963381,0.106873368394593,-0.0228225129306745
3,"StrictHierarchicalEBResidualXGB","S04",23,0.934917429104626,0.194060067830597,0.122300942816115,-0.0560064926991015
4,"StrictHierarchicalEBResidualXGB","ALL",96,0.796932307588667,0.29855882911837,0.153767040058395,-0.0391898718899385
4,"StrictHierarchicalEBResidualXGB","S01",25,0.471242971136122,0.528090093820649,0.358627709513952,-0.0616405131455559
4,"StrictHierarchicalEBResidualXGB","S03",50,0.930291107189317,0.165891396821453,0.0950949528254144,-0.0302215801223672
4,"StrictHierarchicalEBResidualXGB","S04",21,0.933372136968506,0.0998120829403916,0.0495807364993524,-0.0338159936512779
5,"StrictHierarchicalEBResidualXGB","ALL",83,0.849162634264939,0.234498198133798,0.129722755248171,-0.0019050006686805
5,"StrictHierarchicalEBResidualXGB","S01",22,0.590858159025842,0.426793454344977,0.353072596811043,0.035965069436274
5,"StrictHierarchicalEBResidualXGB","S03",44,0.94292511475833,0.111468762724959,0.0599439124377852,-0.020942395148122
5,"StrictHierarchicalEBResidualXGB","S04",17,0.997521830189523,0.0243137669244494,0.0212858475583965,-0.00164007038712597
