"FoldID","Source","N","R2","RMSE","MAE","Bias"
1,"ALL",112,0.907980031439677,0.19805945136598,0.122614248298003,-0.00753250859344577
1,"S01",30,0.828861426388009,0.280902637355666,0.216184529616762,-0.051264003624788
1,"S03",56,0.889365565919421,0.174813006722596,0.0989421525178592,0.00957233128502783
1,"S04",26,0.951395132290606,0.110062839176409,0.0656345915335893,0.00608571516600602
2,"ALL",108,0.839912870833338,0.270078078908579,0.137930057179815,0.0214389821031705
2,"S01",28,0.504553238295522,0.473106171649874,0.351959830318937,0.117760847915582
2,"S03",54,0.916430044802167,0.169996167171436,0.0878068690090701,-0.0126276606387758
2,"S04",26,0.993207941483803,0.0438529009653521,0.0115384615384617,-0.0115384615384617
3,"ALL",104,0.809611212016764,0.304504228288451,0.172898604955794,0.0302396817417018
3,"S01",27,0.637221875667536,0.460849171328474,0.290023320993119,0.0513345529836387
3,"S03",54,0.78364270296896,0.209753093484953,0.110437938817201,0.0427142676626935
3,"S04",23,0.884807834870501,0.258175662075217,0.182051154454761,-0.023812021008987
4,"ALL",96,0.786336293853243,0.306249142013766,0.166002932607257,0.0094708317552686
4,"S01",25,0.465605251027046,0.530897933770995,0.359432294745812,-0.0399449244328301
4,"S03",50,0.915759275774329,0.182364717181552,0.11701329918571,0.0278216438873896
4,"S04",21,0.90619756535447,0.118430137088529,0.0523718667793264,0.0246067030931932
5,"ALL",83,0.869474495376994,0.218138705136307,0.127860415446076,0.00293163703940974
5,"S01",22,0.663258678246701,0.387194347625934,0.308284198081216,0.0574806166135301
5,"S03",44,0.932937993026672,0.120828373772882,0.0803944046376813,-0.0226310695008495
5,"S04",17,0.997803598026174,0.0228898333512862,0.0172240188340926,-0.00149886077583972
