"FoldID","Source","AlphaMetaFusion","MemoryWeight","SessionRidgeWeight","SessionGroupWeight","SessionGroupHourWeight","ConfigID","InnerTrainRMSE","InnerTrainN"
1,"S01",0.14,0.16,0.04,0.46,0.2,"global_k2_t2_e06_a5_b1",0.473917795815043,102
1,"S03",0.2,0.8,0,0,0,"global_k1_t2_e06_a5",0.224769612044913,202
1,"S04",0.12,0.88,0,0,0,"global_k1_t2_e06_a5",0.19877407040461,87
2,"S01",0.06,0.14,0,0.78,0.0199999999999999,"global_k2_t2_e06_a10_b05",0.412404005898468,104
2,"S03",0.28,0.72,0,0,0,"global_k1_t2_e06_a5",0.28135954807521,204
2,"S04",0,1,0,0,0,"global_k1_t2_e03_a5",0.272493804632726,87
3,"S01",0.1,0.06,0.14,0.22,0.48,"global_k1_t2_e06_a10",0.442499343964942,105
3,"S03",0.11,0.89,0,0,0,"global_k1_t2_e06_a5",0.298127062603096,204
3,"S04",0.22,0.78,0,0,0,"global_k1_t2_e03_a5",0.232718296413651,90
4,"S01",0.04,0.18,0.04,0.28,0.46,"global_k2_t2_e06_a10_b05",0.373111382587399,107
4,"S03",0.24,0.76,0,0,0,"global_k1_t2_e03_a5",0.266873391981289,208
4,"S04",0.03,0.97,0,0,0,"global_k1_t2_e06_a5",0.273801847671247,92
5,"S01",0.14,0.06,0.1,0.42,0.28,"global_k2_t2_e06_a10_b05",0.412386463227151,110
5,"S03",0.2,0.8,0,0,0,"global_k1_t2_e03_a5",0.180430803028717,214
5,"S04",0.08,0.92,0,0,0,"global_k1_t2_e03_a5",0.102533662227431,96
