"FoldID","Model","N","Source","R2","RMSE","MAE","Bias"
1,"StrictSourceAwareMemoryFusion",112,"ALL",0.907249581486811,0.198843990592788,0.120243827183072,-0.00761173905250643
1,"StrictSourceAwareMemoryFusion",30,"S01",0.826405157306579,0.282911285513992,0.217199731182284,-0.0303841696166963
1,"StrictSourceAwareMemoryFusion",56,"S03",0.889374580085931,0.17480588495412,0.0958761066114605,0.00336320394759174
1,"StrictSourceAwareMemoryFusion",26,"S04",0.951234701964159,0.110244332014124,0.060855951492069,-0.00497419640172963
2,"StrictSourceAwareMemoryFusion",108,"ALL",0.834099019328291,0.274938528618428,0.143113318922311,0.01113830042686
2,"StrictSourceAwareMemoryFusion",28,"S01",0.501665250017438,0.474483049922416,0.358885262383104,0.110157644929618
2,"StrictSourceAwareMemoryFusion",54,"S03",0.91377584447762,0.172674624304755,0.0871750203126417,-0.0218792150357114
2,"StrictSourceAwareMemoryFusion",26,"S04",0.966039707419018,0.0980580675690915,0.0269230769230768,-0.0269230769230768
3,"StrictSourceAwareMemoryFusion",104,"ALL",0.814774311547167,0.300346967784659,0.164059810073733,0.0311662736745657
3,"StrictSourceAwareMemoryFusion",27,"S01",0.638094879406295,0.460294334424322,0.302573890332271,0.0399173865988963
3,"StrictSourceAwareMemoryFusion",54,"S03",0.781018485443709,0.211021316743545,0.100395592730572,0.0462439811446429
3,"StrictSourceAwareMemoryFusion",23,"S04",0.905585795472435,0.233734326449596,0.150928834836786,-0.0145066068620037
4,"StrictSourceAwareMemoryFusion",96,"ALL",0.778225030734981,0.312008026048455,0.164712149041689,0.0107932247188477
4,"StrictSourceAwareMemoryFusion",25,"S01",0.426111027418956,0.550166172601138,0.376535878024827,-0.0185179742030041
4,"StrictSourceAwareMemoryFusion",50,"S03",0.926019851711436,0.170898153477305,0.107799295723606,0.0194687859959957
4,"StrictSourceAwareMemoryFusion",21,"S04",0.898686172411322,0.123080581159245,0.0480478367238648,0.0250314108707
5,"StrictSourceAwareMemoryFusion",83,"ALL",0.859999367075816,0.225917586576353,0.121386412317746,-0.000201762148519487
5,"StrictSourceAwareMemoryFusion",22,"S01",0.66215615685148,0.387827684220741,0.296708346570112,0.0591942316209588
5,"StrictSourceAwareMemoryFusion",44,"S03",0.904353306762889,0.144299769402842,0.0728254988474568,-0.0287397943345921
5,"StrictSourceAwareMemoryFusion",17,"S04",0.997286699467641,0.0254410872967355,0.0201862734436677,-0.00320402372153861
