Model,ModelFamily,Optimizer,FoldID,InnerCV_RMSE,Evaluations,BestParams,Notes
GA_SVR_RBF,kernel method,genetic_algorithm,1,0.4787185947088943,32,"{""C"": 1.740621, ""epsilon"": 0.0986, ""gamma"": 0.0982835}","Genetic algorithm tunes C, gamma, and epsilon for RBF-SVR."
GA_SVR_RBF,kernel method,genetic_algorithm,2,0.4612112440155965,32,"{""C"": 5.558971, ""epsilon"": 0.0881, ""gamma"": 0.05574837}","Genetic algorithm tunes C, gamma, and epsilon for RBF-SVR."
GA_SVR_RBF,kernel method,genetic_algorithm,3,0.45041680550901003,32,"{""C"": 2.139448, ""epsilon"": 0.0496, ""gamma"": 0.08593033}","Genetic algorithm tunes C, gamma, and epsilon for RBF-SVR."
GA_SVR_RBF,kernel method,genetic_algorithm,4,0.4359660613152149,32,"{""C"": 4.120076, ""epsilon"": 0.1101, ""gamma"": 0.1440256}","Genetic algorithm tunes C, gamma, and epsilon for RBF-SVR."
GA_SVR_RBF,kernel method,genetic_algorithm,5,0.48216472412460104,32,"{""C"": 1.692803, ""epsilon"": 0.1183, ""gamma"": 0.21613948}","Genetic algorithm tunes C, gamma, and epsilon for RBF-SVR."
PSO_RandomForest,bagging ensemble,particle_swarm_optimization,1,0.4792180138429793,36,"{""max_depth"": 14, ""max_features"": 0.836, ""min_samples_leaf"": 2, ""n_estimators"": 210}","Particle swarm optimization tunes random-forest depth, leaf size, trees, and feature fraction."
PSO_RandomForest,bagging ensemble,particle_swarm_optimization,2,0.43782171704792244,26,"{""max_depth"": 16, ""max_features"": 0.35, ""min_samples_leaf"": 1, ""n_estimators"": 80}","Particle swarm optimization tunes random-forest depth, leaf size, trees, and feature fraction."
PSO_RandomForest,bagging ensemble,particle_swarm_optimization,3,0.4497584755126121,36,"{""max_depth"": 16, ""max_features"": 0.903, ""min_samples_leaf"": 1, ""n_estimators"": 60}","Particle swarm optimization tunes random-forest depth, leaf size, trees, and feature fraction."
PSO_RandomForest,bagging ensemble,particle_swarm_optimization,4,0.4399668960195798,36,"{""max_depth"": 11, ""max_features"": 0.838, ""min_samples_leaf"": 2, ""n_estimators"": 60}","Particle swarm optimization tunes random-forest depth, leaf size, trees, and feature fraction."
PSO_RandomForest,bagging ensemble,particle_swarm_optimization,5,0.4620779515956304,36,"{""max_depth"": 10, ""max_features"": 0.864, ""min_samples_leaf"": 2, ""n_estimators"": 130}","Particle swarm optimization tunes random-forest depth, leaf size, trees, and feature fraction."
DE_GradientBoosting,boosting ensemble,differential_evolution,1,0.4276462818634368,60,"{""learning_rate"": 0.188456, ""max_depth"": 4, ""min_samples_leaf"": 7, ""n_estimators"": 230, ""subsample"": 0.749}",Differential evolution tunes gradient-boosting tree parameters.
DE_GradientBoosting,boosting ensemble,differential_evolution,2,0.4187460750583558,60,"{""learning_rate"": 0.131988, ""max_depth"": 4, ""min_samples_leaf"": 4, ""n_estimators"": 130, ""subsample"": 0.769}",Differential evolution tunes gradient-boosting tree parameters.
DE_GradientBoosting,boosting ensemble,differential_evolution,3,0.4186779719257792,60,"{""learning_rate"": 0.12413, ""max_depth"": 3, ""min_samples_leaf"": 3, ""n_estimators"": 240, ""subsample"": 0.986}",Differential evolution tunes gradient-boosting tree parameters.
DE_GradientBoosting,boosting ensemble,differential_evolution,4,0.400310680463786,59,"{""learning_rate"": 0.107198, ""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 230, ""subsample"": 0.993}",Differential evolution tunes gradient-boosting tree parameters.
DE_GradientBoosting,boosting ensemble,differential_evolution,5,0.3923913235853333,59,"{""learning_rate"": 0.18545, ""max_depth"": 4, ""min_samples_leaf"": 4, ""n_estimators"": 200, ""subsample"": 0.954}",Differential evolution tunes gradient-boosting tree parameters.
SA_KNN,nearest neighbor,simulated_annealing,1,0.5088917794772277,21,"{""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}","Simulated annealing tunes KNN k, distance metric, and weights."
SA_KNN,nearest neighbor,simulated_annealing,2,0.47659810630458876,21,"{""n_neighbors"": 8, ""p"": 1, ""weights"": ""distance""}","Simulated annealing tunes KNN k, distance metric, and weights."
SA_KNN,nearest neighbor,simulated_annealing,3,0.4677696167566232,23,"{""n_neighbors"": 4, ""p"": 2, ""weights"": ""uniform""}","Simulated annealing tunes KNN k, distance metric, and weights."
SA_KNN,nearest neighbor,simulated_annealing,4,0.4710727717693795,25,"{""n_neighbors"": 4, ""p"": 1, ""weights"": ""uniform""}","Simulated annealing tunes KNN k, distance metric, and weights."
SA_KNN,nearest neighbor,simulated_annealing,5,0.5079582942315289,23,"{""n_neighbors"": 7, ""p"": 2, ""weights"": ""distance""}","Simulated annealing tunes KNN k, distance metric, and weights."
