Method,FoldID,Source,ChosenCandidates,InnerRMSE,TrainingN,Weight_direct_xgb,Weight_ridge
w/o thermal-state memory/retrieval,1,S01,direct_xgb+ridge,0.5777632252543818,102,0.8500000000000001,0.1499999999999999
w/o thermal-state memory/retrieval,1,S03,direct_xgb,0.4012491397200543,202,1.0,
w/o thermal-state memory/retrieval,1,S04,direct_xgb,0.4381760338518099,87,1.0,
w/o thermal-state memory/retrieval,2,S01,direct_xgb,0.5945904957932069,104,1.0,
w/o thermal-state memory/retrieval,2,S03,direct_xgb,0.3661297615719219,204,1.0,
w/o thermal-state memory/retrieval,2,S04,direct_xgb,0.4370457399244666,87,1.0,
w/o thermal-state memory/retrieval,3,S01,direct_xgb+ridge,0.5564195090233419,105,0.9,0.09999999999999998
w/o thermal-state memory/retrieval,3,S03,direct_xgb+ridge,0.4081035331061708,204,1.0,0.0
w/o thermal-state memory/retrieval,3,S04,direct_xgb,0.3475506054352299,90,1.0,
w/o thermal-state memory/retrieval,4,S01,direct_xgb+ridge,0.5065819267758639,107,0.8500000000000001,0.1499999999999999
w/o thermal-state memory/retrieval,4,S03,direct_xgb,0.37866842365332204,208,1.0,
w/o thermal-state memory/retrieval,4,S04,direct_xgb+ridge,0.4393435272503912,92,1.0,0.0
w/o thermal-state memory/retrieval,5,S01,direct_xgb,0.5809401431646904,110,1.0,
w/o thermal-state memory/retrieval,5,S03,direct_xgb+ridge,0.40173211996023955,214,1.0,0.0
w/o thermal-state memory/retrieval,5,S04,direct_xgb+ridge,0.4377794477021028,96,1.0,0.0
